#arXiv:1812.09743 
#title:Search for large missing transverse momentum in association with one top-quark in proton–proton collisions at $\sqrt{s}=$ 13 TeV with the ATLAS detector  
#Luminosity 36.1 fb-1 
#Energy 13000 GeV 
#M.~Aaboud et al. ATLAS Collaborations 
#Fig 6b 
#pp → Tbq→ tZbq, s_L, T singlet 
#Mass_obs(GeV), Mass_exp(GeV), obs(lower), obs(upper), exp(lower) , exp(upper)
700 700 0.5229508196721311 0.948360655737705 0.6524590163934427 0.919672131147541
800 800 0.5172131147540985 0.9385245901639345 0.5508196721311476 0.9229508196721312
900 900 0.46967213114754125 0.9557377049180329 0.48852459016393446 0.9409836065573771
1000 1000 0.451639344262295 0.9491803278688525 0.4918032786885246 0.9336065573770492
1100 1100 0.3770491803278697 0.9549180327868854 0.4393442622950823 0.9385245901639345
1200 1200 0.3729508196721313 0.9385245901639345 0.4500000000000004 0.9172131147540984
1300 1300 0.40327868852459026 0.9245901639344263 0.49098360655737705 0.8918032786885246
1400 1400 0.4590163934426228 0.8918032786885246 0.5795081967213115 0.8229508196721311
1500 NaN 0.6540983606557377 0.7606557377049181 NaN NaN

