#arxiv:2405.17605
#fig 36 
#singlet
#MT_obs(GeV), MT_exp (GeV) , Gamma/mT_obs, Gamma/MT_exp
920 750 0.9210526315789451 1.0515873015873005
1180 960 3.048245614035089 2.1230158730158735
1213 1200 3.991228070175442 4.087301587301585
1200 1200 5.0877192982456165 5.039682539682534
1060 1300 10.021929824561408 9.226190476190474
1130 1440 13.793859649122812 15.17857142857142
1250 1550 20.15350877192983 19.900793650793645
1300 1700 24.649122807017555 29.682539682539684
1360 NaN 30.241228070175442 NaN



