#arXiv:1701.07409
#title:Search for single production of vector-like quarks decaying to a Z boson and a top or a bottom quark in proton-proton collisions at $\sqrt{s}=13$ TeV 
#luminosity 2.3 fb-1 
#Energy 13000 GeV 
#A.~M.~Sirunyan and al. CMS Collaborations 
#Fig 5 left 
#pp → Bt→ Zb, singlet, C(Wt)=0.5
#Mass(GeV), \sigma_theo(pb)
700 0.04923882631706721
800 0.03334854751235188
900 0.024532600674941032
1100 0.013433993325989015
1300 0.007621690026086907
1500 0.0045332561187431735
1650 0.003070290629757856

