#arXiv:1409.5500
#title:Search for pair and single production of new heavy quarks that decay to a $Z$ boson and a third-generation quark in $pp$ collisions at $\sqrt{s}=8$ TeV with the ATLAS detector 
#luminosity 20.3 fb-1
#Energy 8000 GeV
#G.~Aad and al. ATLAS Collaborations
#Fig 12a
#pp→BB→ Zb+X, singlet 
#Mass (GeV), obs (pb), exp (pb)
350 0.26179946215854 0.36190430562520076
400 0.17465760476621164 0.23713737056616602
450 0.1252149689065558 0.18600784018072802
500 0.08737883498527163 0.1445959903067413
550 0.0697830584859867 0.1134194403502757
600 0.06264335366568849 0.0881683066775571
650 0.07041355154858095 0.08204696109024982
700 0.0685389583865009 0.06853895838650097
750 0.06493816315762106 0.06208243607191253
800 0.05988854334916467 0.055231584173071155
850 0.06042963902381334 0.05376117474555836

