#arXiv:1409.5500
#title:Search for pair and single production of new heavy quarks that decay to a $Z$ boson and a third-generation quark in $pp$ collisions at $\sqrt{s}=8$ TeV with the ATLAS detector 
#luminosity 20.3 fb-1
#Energy 8000 GeV
#G.~Aad and al. ATLAS Collaborations
#Fig 12b
#pp→BB→ Zb+X, doublet 
#Mass (GeV), obs (pb), exp (pb)
350 0.17866213535081538 0.23880794998622143
400 0.10381501298126916 0.13241927918860494
450 0.07694472676564555 0.11188722115874199
500 0.04955893342695466 0.0762278764043849
550 0.038491590219496774 0.0592049097703988
600 0.03376410829475582 0.046852385427368554
650 0.03376410829475568 0.0403358354758648
700 0.03313791680265426 0.03538184599286097
750 0.03472565182531003 0.035052213409210456
800 0.032829189634075745 0.03252333870135681
850 0.03376410829475568 0.03222033720823998


