#arXiv:1505.04306
#title:Search for production of vector-like quark pairs and of four top quarks in the lepton-plus-jets final state in $pp$ collisions at $\sqrt{s}=8$ TeV with the ATLAS detector
#luminosity 20.3 fb-1
#Energy 8000 GeV
#G.~Aad and al. ATLAS Collaborations
#Fig 22b
#pp→BB→ Hb+X, singlet 
#Mass (GeV), obs (pb), exp (pb)
350 1.770599351226898 1.252403754535072
400 1.168608855346651 0.6951927961775606
450 0.7847599703514615 0.42444316943520527
500 0.46684523707037895 0.2777211932429355
550 0.2850277982559419 0.19140570900630743
600 0.13894954943731375 0.13775194650246705
650 0.07984645497739103 0.10717048298967115
700 0.05179474679231213 0.0855718314494001
750 0.037275937203149416 0.06773717303003463
800 0.031622776601683826 0.05599126773493451
850 0.027295447924020045 0.04432171342476099
900 0.023971722859894757 0.03569698846826059
950 0.021235753190494904 0.030283286655749427


