800.0	0	13	0.675	4.781046241212707	0.1	0.1411824872517416
1000.0	0	13	0.314	2.973836199404371	0.1	0.10558752363794985
1200.0	0	13	0.158	2.618394841779393	0.1	0.06034231257980454
1400.0	0	13	0.084	1.2772448442621387	0.1	0.06576656024673688
1600.0	1	13	0.047	0.7301944447367904	0.1	0.06436641683427469
800.0	0	13	0.65	4.603970454501125	0.2	0.1411824872517416
1000.0	0	13	0.299	2.831773960579321	0.2	0.10558752363794988
1200.0	0	13	0.149	2.469245768513478	0.2	0.06034231257980455
1400.0	0	13	0.079	1.2012183654370112	0.2	0.06576656024673688
1600.0	1	13	0.043	0.6680502366740847	0.2	0.06436641683427469
800.0	0	13	0.631	4.469392856600322	0.3	0.1411824872517416
1000.0	0	13	0.284	2.6897117217542714	0.3	0.10558752363794988
1200.0	0	13	0.141	2.3366688144993315	0.3	0.06034231257980454
1400.0	0	13	0.074	1.125191886611884	0.3	0.06576656024673688
1600.0	1	13	0.041	0.6369781326427321	0.3	0.06436641683427469
