mass result channel_or_id theo_cross_section ratio observed_limit sin_R
600.7662835249041 0 15 1.6223644720064703 4.585083422595173 0.35383532260536416 0.2
695.7854406130268 0 15 1.04921264934821 4.059188961287085 0.25847839540229883 0.2
796.9348659003831 0 13 0.7057370299806693 1.2158831285858431 0.5804316330974102 0.2
896.551724137931 0 15 0.4839062828178732 1.7276922885086803 0.28008823448275866 0.2
1002.2988505747127 1 13 0.35871590725256464 0.8555045802217556 0.4193033158975979 0.2
1095.7854406130268 0 9 0.2655980378953449 1.0584787811421044 0.25092429118773946 0.2
1196.934865900383 0 9 0.18932777629023445 1.0899482892795487 0.1737034482758621 0.2
1298.0842911877394 1 9 0.15453517029677147 0.7790954788277925 0.19835203065134097 0.2
1394.6360153256705 1 9 0.11445383488121601 0.5792404778118369 0.1975929501915709 0.2
1497.318007662835 1 9 0.08816529384260029 0.595223284127511 0.14812137931034494 0.2
1598.4674329501918 1 9 0.06407527699351018 0.7011811527095319 0.09138191570881214 0.2
1701.1494252873563 1 9 0.053329958812295776 0.7300416050397665 0.0730505747126437 0.2
1797.7011494252874 1 9 0.04351019890054982 0.7191905050628559 0.060498850574712625 0.2
