mass s_l pair_prod ratio result channel
700.0 1e-07 0.455 17.6737458301383 0 9
700.2750687671918 1e-07 0.4542875718929733 17.65911638713324 0 9
700.5501375343836 1e-07 0.4535751437859466 17.644465300444892 0 9
700.8252063015753 1e-07 0.4528627156789199 17.629792522006245 0 9
701.1002750687672 1e-07 0.4521502875718928 17.615098003607827 0 9
701.375343835959 1e-07 0.4514378594648661 17.60038169689724 0 9
701.6504126031508 1e-07 0.4507254313578394 17.58564355337856 0 9
701.9254813703426 1e-07 0.45001300325081267 17.570883524411833 0 9
702.2005501375344 1e-07 0.44930057514378596 17.556101561212557 0 9
702.4756189047262 1e-07 0.44858814703675925 17.541297614851125 0 9
702.750687671918 1e-07 0.4478757189297325 17.52647163625228 0 9
703.0257564391097 1e-07 0.4471632908227058 17.51162357619459 0 9
703.3008252063016 1e-07 0.4464508627156788 17.496753385309894 0 9
703.5758939734934 1e-07 0.4457384346086521 17.481861014082764 0 9
703.8509627406852 1e-07 0.4450260065016254 17.466946412849932 0 9
704.126031507877 1e-07 0.4443135783945987 17.452009531799764 0 9
704.4011002750688 1e-07 0.4436011502875719 17.437050320971686 0 9
704.6761690422605 1e-07 0.4428887221805452 17.422068730255653 0 9
704.9512378094523 1e-07 0.4421762940735185 17.407064709391555 0 9
705.2263065766441 1e-07 0.4414638659664918 17.392038207968678 0 9
705.501375343836 1e-07 0.44075143785946475 17.37698917542513 0 9
705.7764441110278 1e-07 0.44003900975243804 17.361917561047296 0 9
706.0515128782196 1e-07 0.4393265816454113 17.346823313969225 0 9
706.3265816454114 1e-07 0.43861415353838457 17.3317063831721 0 9
706.6016504126031 1e-07 0.43790172543135786 17.316566717483635 0 9
706.8767191797949 1e-07 0.43718929732433115 17.30140426557752 0 9
707.1517879469867 1e-07 0.43647686921730444 17.286218975972815 0 9
707.4268567141786 1e-07 0.4357644411102774 17.27101079703339 0 9
707.7019254813704 1e-07 0.4350520130032507 17.25577967696734 0 9
707.9769942485622 1e-07 0.434339584896224 17.240525563826377 0 9
708.252063015754 1e-07 0.4336271567891973 17.225248405505248 0 9
708.5271317829457 1e-07 0.43291472868217057 17.20994814974116 0 9
708.8022005501375 1e-07 0.43220230057514386 17.194624744113153 0 9
709.0772693173293 1e-07 0.43148987246811715 17.179278136041525 0 9
709.3523380845211 1e-07 0.43077744436109044 17.163908272787225 0 9
709.627406851713 1e-07 0.4300650162540634 17.148515101451228 0 9
709.9024756189048 1e-07 0.4293525881470367 17.13309856897399 0 9
710.1775443860965 1e-07 0.42864016004000993 17.11765862213474 0 9
710.4526131532883 1e-07 0.4279277319329832 17.10219520755097 0 9
710.7276819204801 1e-07 0.4272153038259565 17.086708271677743 0 9
711.0027506876719 1e-07 0.42650287571892975 17.07119776080711 0 9
711.2778194548637 1e-07 0.42579044761190304 17.055663621067495 0 9
711.5528882220556 1e-07 0.42507801950487606 17.040105798423042 0 9
711.8279569892474 1e-07 0.42436559139784935 17.02452423867303 0 9
712.1030257564391 1e-07 0.42365316329082264 17.0089188874512 0 9
712.3780945236309 1e-07 0.42294073518379594 16.99328969022514 0 9
712.6531632908227 1e-07 0.42222830707676917 16.977636592295674 0 9
712.9282320580145 1e-07 0.42151587896974246 16.961959538796183 0 9
713.2033008252063 1e-07 0.42080345086271576 16.94625847469199 0 9
713.478369592398 1e-07 0.42009102275568905 16.93053334477971 0 9
713.75343835959 1e-07 0.41937859464866206 16.914784093686595 0 9
714.0285071267817 1e-07 0.41866616654163535 16.899010665869906 0 9
714.3035758939735 1e-07 0.4179537384346086 16.88321300561623 0 9
714.5786446611653 1e-07 0.4172413103275819 16.86739105704085 0 9
714.8537134283571 1e-07 0.4165288822205552 16.851544764087073 0 9
715.1287821955489 1e-07 0.4158164541135284 16.835674070525563 0 9
715.4038509627406 1e-07 0.4151040260065017 16.81977891995369 0 9
715.6789197299324 1e-07 0.414391597899475 16.803859255794862 0 9
715.9539884971243 1e-07 0.41367916979244795 16.787915021297817 0 9
716.2290572643161 1e-07 0.41296674168542125 16.77194615953603 0 9
716.5041260315079 1e-07 0.41225431357839454 16.755952613406933 0 9
716.7791947986997 1e-07 0.41154188547136783 16.739934325631317 0 9
717.0542635658915 1e-07 0.4108294573643411 16.723891238752604 0 9
717.3293323330832 1e-07 0.4101170292573144 16.707823295136173 0 9
717.604401100275 1e-07 0.4094046011502877 16.691730436968673 0 9
717.8794698674669 1e-07 0.40869217304326066 16.675612606257314 0 9
718.1545386346587 1e-07 0.40797974493623396 16.65946974482921 0 9
718.4296074018505 1e-07 0.40726731682920725 16.643301794330625 0 9
718.7046761690423 1e-07 0.40655488872218054 16.62710869622631 0 9
718.979744936234 1e-07 0.40584246061515383 16.610890391798772 0 9
719.2548137034258 1e-07 0.4051300325081271 16.59464682214759 0 9
719.5298824706176 1e-07 0.40441760440110036 16.57837792818867 0 9
719.8049512378094 1e-07 0.4037051762940736 16.56208365065356 0 9
720.0800200050013 1e-07 0.4029927481870466 16.545763930088704 0 9
720.3550887721931 1e-07 0.4022803200800199 16.529418706854752 0 9
720.6301575393849 1e-07 0.4015678919729932 16.513047921125793 0 9
720.9052263065767 1e-07 0.4008554638659665 16.496651512888647 0 9
721.1802950737684 1e-07 0.4001430357589397 16.480229421942134 0 9
721.4553638409602 1e-07 0.399430607651913 16.463781587896335 0 9
721.730432608152 1e-07 0.3987181795448863 16.44730795017184 0 9
722.0055013753438 1e-07 0.3980057514378596 16.43080844799902 0 9
722.2805701425357 1e-07 0.3972933233308326 16.414283020417265 0 9
722.5556389097275 1e-07 0.3965808952238059 16.39773160627427 0 9
722.8307076769192 1e-07 0.39586846711677914 16.38115414422521 0 9
723.105776444111 1e-07 0.39515603900975244 16.364550572732053 0 9
723.3808452113028 1e-07 0.3944436109027257 16.347920830062765 0 9
723.6559139784946 1e-07 0.393731182795699 16.33126485429054 0 9
723.9309827456864 1e-07 0.3930187546886723 16.314582583293056 0 9
724.2060515128783 1e-07 0.39230632658164527 16.297873954751662 0 9
724.4811202800701 1e-07 0.3915938984746185 16.281138906150666 0 9
724.7561890472618 1e-07 0.3908814703675918 16.26437737477649 0 9
725.0312578144536 1e-07 0.3901690422605651 16.247589297716917 0 9
725.3063265816454 1e-07 0.3894566141535384 16.230774611860305 0 9
725.5813953488372 1e-07 0.3887441860465117 16.21393325389479 0 9
725.856464116029 1e-07 0.38803175793948497 16.1970651603075 0 9
726.1315328832208 1e-07 0.38731932983245826 16.18017026738373 0 9
726.4066016504127 1e-07 0.3866069017254312 16.163248511206174 0 9
726.6816704176044 1e-07 0.3858944736184045 16.14629982765411 0 9
726.9567391847962 1e-07 0.3851820455113778 16.12932415240258 0 9
727.231807951988 1e-07 0.3844696174043511 16.112321420921578 0 9
727.5068767191798 1e-07 0.3837571892973244 16.09529156847523 0 9
727.7819454863716 1e-07 0.3830447611902977 16.078234530120984 0 9
728.0570142535634 1e-07 0.3823323330832709 16.06115024070877 0 9
728.3320830207551 1e-07 0.3816199049762442 16.0440386348802 0 9
728.607151787947 1e-07 0.38090747686921717 16.026899647067676 0 9
728.8822205551388 1e-07 0.38019504876219046 16.00973321149364 0 9
729.1572893223306 1e-07 0.37948262065516375 15.992539262169638 0 9
