mass sin_l res ratio channel width
1149.8997995991986 0.6593186372745491 0 2.198463080521215 1 0.18439725014526223
1500.6012024048096 0.7434869739478958 0 1.0400447168122635 2 0.40314797550197456
1750.3006012024048 0.2605210420841683 -1 -1.0 -1 0.06758531489104576
961.9238476953908 0.7815631262525049 0 3.631284916201117 1 0.1795206222928739
1929.8597194388778 0.3687374749498998 -1 -1.0 -1 0.1648887534521605
1792.3847695390782 0.05611222444889779 -1 -1.0 -1 0.003289415305284718
1949.498997995992 0.2545090180360721 -1 -1.0 -1 0.08017302963570798
695.3907815631262 0.8076152304609218 0 1.9070704714358453 0 0.09712574114858484
1862.5250501002004 0.2685370741482966 -1 -1.0 -1 0.08140616117627329
1800.801603206413 0.8296593186372745 -1 -1.0 -1 0.7259569333060903
748.6973947895792 0.7074148296593186 0 2.7229640906603567 3 0.08716327089569456
1088.1763527054109 0.6352705410821643 0 2.602627257799671 1 0.15289148222800486
1309.8196392785571 0.9959919839679358 1 2.267506445565241 2 0.5488876395484479
731.8637274549098 0.5470941883767535 0 2.087804459629861 3 0.04968431336516461
1896.192384769539 0.5350701402805611 -1 -1.0 -1 0.3350923169785261
779.559118236473 0.6112224448897795 0 2.390609098040587 3 0.07085343823887048
1396.7935871743489 0.09619238476953906 1 0.19664983419189344 2 0.005834812428151374
888.9779559118236 0.9358717434869739 0 4.1100353086356645 3 0.21859209817665948
1884.9699398797595 0.6212424849699398 -1 -1.0 -1 0.4463398083329277
1792.3847695390782 0.19639278557114226 -1 -1.0 -1 0.04029533748973779
1245.2905811623245 0.843687374749499 0 2.058457752754268 2 0.35532888903311993
1820.4408817635272 0.9519038076152304 -1 -1.0 -1 0.9768009556607776
1245.2905811623245 0.9438877755511021 0 2.302930169945986 2 0.44474199576845297
664.5290581162325 0.7555110220440882 0 1.7840336668270813 0 0.07713540923277638
712.2244488977956 0.655310621242485 0 2.4760070374934706 3 0.06728648250488037
1093.7875751503007 0.6713426853707414 0 2.7191558441558437 1 0.1725588092119116
1438.877755511022 0.38476953907815625 1 0.6762583517722711 2 0.09915655081846858
1287.374749498998 0.4348697394789579 0 1.01573632456436 2 0.10101946520778553
1523.0460921843687 0.813627254509018 0 1.1559895540968566 4 0.49754922461840295
765.5310621242485 0.03206412825651302 1 0.12449723735961651 3 0.0001876714369978162
1598.797595190381 0.6973947895791582 0 1.049212600061687 4 0.403302073158052
1166.733466933868 0.40881763527054105 0 1.2907307813982907 1 0.07303563522789291
1837.2745490981965 0.8997995991983967 -1 -1.0 -1 0.889158253958402
1450.1002004008017 0.012024048096192383 1 0.020322864923501483 2 9.837126406486303e-05
852.5050100200401 0.4308617234468938 0 2.037142315709683 1 0.042461493444542156
1071.3426853707415 0.2064128256513026 1 0.8758503401360542 1 0.01563292767149794
905.811623246493 0.33466933867735466 0 1.4634593608158086 3 0.02906401978206395
754.308617234469 0.7274549098196392 0 2.808197858287289 3 0.09363640601972192
672.9458917835672 0.9138276553106212 0 2.157876265446019 0 0.11593508814508797
1702.6052104208418 0.9599198396793587 -1 -1.0 -1 0.8677499819902839
759.9198396793587 0.4629258517034068 0 1.79221686301967 3 0.03851647148027373
1741.88376753507 0.5370741482965932 -1 -1.0 -1 0.28445041309705393
1186.372745490982 0.9979959919839678 0 2.9669347631814116 1 0.45035314868050713
675.7515030060121 0.843687374749499 0 1.9922497977034512 0 0.09970500573631655
1711.0220440881765 0.3246492985971944 -1 -1.0 -1 0.10024935494752582
1977.5551102204408 0.9519038076152304 -1 -1.0 -1 1.1542951819256435
1365.931863727455 0.6352705410821643 0 1.3523798985433324 2 0.24319028694067768
1452.9058116232466 0.8376753507014028 0 1.4023849518115383 2 0.4793155242494983
987.1743486973949 0.9639278557114228 0 4.699101211410708 1 0.2880805608982877
802.004008016032 0.2224448897795591 0 1.2276045122760453 1 0.009960905258107227
1402.4048096192387 0.3547094188376753 1 0.7151826913804329 2 0.07998848928539756
1318.2364729458918 0.9458917835671342 0 2.132622175652074 2 0.5015529002968935
