m k res ratio channel r
1028.2828282828282 0.39719675320579484 1 0.72556304174559 31 0.0008529968698170756
1622.2222222222222 1.0196195642996182 0 1.4465509080977117 30 0.4402723721921036
1169.6969696969697 0.9044185977237924 0 1.5836823555101553 31 0.31900039449546885
1127.2727272727273 0.9997180467337565 0 1.8239499954230236 31 0.18408074546817188
1197.979797979798 1.1112917904880621 0 1.8894556849412956 31 0.20790198962650547
2004.0404040404042 1.0050411712526581 -1 -1.0050411712526581 -1 0.7290858596561582
2159.5959595959594 0.630184649646314 -1 -0.630184649646314 -1 0.08669865404641815
1028.2828282828282 0.6776471156865425 0 1.2378643544271557 31 0.030707887313414717
1240.4040404040404 0.9946804941851627 0 1.6216782144254123 31 0.3098810801726849
1141.4141414141413 0.7921205391332855 0 1.4252770927532643 31 0.045784366335187766
1424.2424242424242 0.7118279888471474 0 1.2122842991935758 30 0.5540785247620021
1537.3737373737374 1.0847270754415155 0 1.7181942977647768 30 0.3527033871637424
2371.717171717172 0.2408486441440048 -1 -0.2408486441440048 -1 0.026141756308459285
1254.5454545454545 0.4731189818917698 1 0.7666655816619259 30 0.026868557724316785
2046.4646464646464 1.0060793961018784 -1 -1.0060793961018784 -1 0.5536204781432651
2301.010101010101 0.8590350567935118 -1 -0.8590350567935118 -1 0.3014266392714973
1212.121212121212 0.6322108203001436 0 1.0597393984522558 31 0.048551615401499534
1155.5555555555557 0.22291362297387188 1 0.3956396266422046 31 0.00521400949625345
1975.7575757575758 0.989217206309522 -1 -0.989217206309522 -1 0.7086514502658259
1777.7777777777778 0.2537584582260555 -1 -0.2537584582260555 -1 0.014687809700236726
2343.4343434343436 0.9626518053598043 -1 -0.9626518053598043 -1 1.2505770195455195
1876.7676767676767 0.5578325384470065 -1 -0.5578325384470065 -1 1.0917283259910693
1806.060606060606 0.5602760730687331 -1 -0.5602760730687331 -1 0.02063292815072977
1608.080808080808 0.8303695481326187 0 1.1735398078460353 30 0.11424955095750958
2315.151515151515 0.5578443699530736 -1 -0.5578443699530736 -1 0.062447080457333506
1155.5555555555557 0.8316351046427899 0 1.4760327247563068 31 0.09118052970307688
1056.5656565656566 0.7935585671542454 0 1.4576021864927635 31 0.30489970739003086
1947.4747474747473 0.45740356903229423 -1 -0.45740356903229423 -1 0.06475030248672708
2216.161616161616 0.9605157072296556 -1 -0.9605157072296556 -1 1.1452124463617226
2074.747474747475 0.8244973436280546 -1 -0.8244973436280546 -1 1.1004099798607818
2131.3131313131316 0.4460416436256617 -1 -0.4460416436256617 -1 1.407963079299295
1905.050505050505 0.9329271033287267 -1 -0.9329271033287267 -1 0.36730841944649073
1381.8181818181818 0.7286497502068486 0 1.2267382520234424 30 0.5444812719769343
1155.5555555555557 0.9712156298759751 0 1.7237680858932662 31 0.13513333702686633
1254.5454545454545 0.8865515776352084 0 1.436612368041661 30 0.08538004826952081
1791.919191919192 1.0215661003937435 -1 -1.0215661003937435 -1 0.5372070653809611
1155.5555555555557 1.105537213449964 0 1.9621695818010854 31 0.17650068509631514
1565.6565656565658 1.0733298336195767 0 1.610498979127619 30 0.4332019107642067
2244.4444444444443 1.0759029533344269 -1 -1.0759029533344269 -1 1.014652852601436
2046.4646464646464 0.9692173811983426 -1 -0.9692173811983426 -1 0.9311258481271857
1494.949494949495 1.0168652385167214 0 1.7381234550476639 30 0.23433326198472323
1890.909090909091 0.40898836643358755 -1 -0.40898836643358755 -1 0.016616724313755486
1890.909090909091 0.9933592416396871 -1 -0.9933592416396871 -1 0.2770607991481036
1848.4848484848485 0.9402391636945777 -1 -0.9402391636945777 -1 0.21349026048737285
1593.939393939394 0.6962637374241001 1 0.9923972206437499 30 0.0787955812738228
1947.4747474747473 0.7202434624746199 -1 -0.7202434624746199 -1 0.11016119515700258
1466.6666666666667 0.5382752083656428 1 0.9187255203592906 30 0.00839997784118699
1537.3737373737374 1.0072158188781812 0 1.595417424157657 30 0.20625215373935107
2202.0202020202023 0.9461349824917346 -1 -0.9461349824917346 -1 1.1306434782018724
2286.868686868687 1.0408626658994853 -1 -1.0408626658994853 -1 0.8270360384197825
2343.4343434343436 0.8140605701412736 -1 -0.8140605701412736 -1 0.20488478381443037
1975.7575757575758 0.9254966522420461 -1 -0.9254966522420461 -1 0.9535613914776953
1113.1313131313132 0.8472829929231495 0 1.5677473648356057 31 0.33111141249369797
1014.1414141414141 1.0095465545634223 0 1.8391004417742578 31 0.13172161265018922
1791.919191919192 0.9867611932806652 -1 -0.9867611932806652 -1 0.31347441604502463
1113.1313131313132 0.6188804747929838 0 1.1451288903575485 31 0.3684968937980824
1579.7979797979797 0.8615746094455111 0 1.2595606511383637 30 0.5957093437392084
1664.6464646464647 0.81976784681415 0 1.176610536057061 30 0.14308725761428034
1579.7979797979797 1.0029479209434558 0 1.4662383530248415 30 0.4410633269761905
1042.4242424242425 1.0486947301996883 0 1.9209328590202122 31 0.21884095492138592
1197.979797979798 0.624264009648657 0 1.061394668826696 31 0.04168228796254286
2301.010101010101 0.04163940708992916 -1 -0.04163940708992916 -1 0.0006835071185294725
1975.7575757575758 1.067748125587386 -1 -1.067748125587386 -1 0.6530931765649849
1820.2020202020203 0.9520349882223172 -1 -0.9520349882223172 -1 0.6843205430568764
2060.606060606061 0.46696698129513237 -1 -0.46696698129513237 -1 0.01658132301383694
2145.4545454545455 0.7788045180182233 -1 -0.7788045180182233 -1 0.21451148884755342
1777.7777777777778 0.34073316139459037 -1 -0.34073316139459037 -1 0.02947761807894732
1494.949494949495 1.1008892529737748 0 1.8817453478838275 30 0.28626307073480045
1608.080808080808 0.7607271504658512 0 1.0751160082743985 30 0.6759834643943227
1848.4848484848485 0.47038561891150404 -1 -0.47038561891150404 -1 0.06351776345078862
1537.3737373737374 0.4419427650253966 1 0.7000318845143237 30 0.019526831123252174
2385.8585858585857 0.8144076391035658 -1 -0.8144076391035658 -1 0.3240667995896101
1494.949494949495 0.7480736819774394 0 1.278679183335534 30 0.5972649253602625
1395.9595959595958 0.4853276535598463 1 0.8236217980320087 30 0.0010062176864662794
2088.8888888888887 1.0387184328160548 -1 -1.0387184328160548 -1 0.9239423737847982
1268.6868686868688 0.39602625610229 1 0.6404077771149395 30 0.010180805029104891
2301.010101010101 0.4081405974569635 -1 -0.4081405974569635 -1 0.02067609033551654
1876.7676767676767 1.0131276649394858 -1 -1.0131276649394858 -1 0.43696414880358914
1155.5555555555557 1.090871854710507 0 1.936140678861704 31 0.1820594224931473
2187.878787878788 0.14672355388893618 -1 -0.14672355388893618 -1 0.007569857545776015
1127.2727272727273 0.7543855199428429 0 1.3763495318929535 31 0.0369063646516718
1523.2323232323233 0.7562807746883874 0 1.2322331704980298 30 0.06739181413390366
1197.979797979798 0.5798891586448176 1 0.9859470544239979 31 0.010420571990635716
1791.919191919192 0.8787731362006046 -1 -0.8787731362006046 -1 0.2590697653264666
2371.717171717172 0.41204966135743987 -1 -0.41204966135743987 -1 0.05246505259128288
1905.050505050505 0.4490075163683561 -1 -0.4490075163683561 -1 0.04228263374368085
2117.1717171717173 0.8038923751160348 -1 -0.8038923751160348 -1 0.28006702360063207
1226.2626262626263 0.5052765703234295 1 0.835211461688577 31 0.025670585461231753
1791.919191919192 1.0073649095493982 -1 -1.0073649095493982 -1 0.5522331117698963
2046.4646464646464 0.238636706832024 -1 -0.238636706832024 -1 0.0005406449981867823
