mass k_t sing_prod ratio result channel label gamma arXiv luminosity
1000.0 0.3 0.017768883200954398 0.34890582257687786 1 28 ATLAS 0.02777474936961439 arXiv:2307.07584 139
1001.7543859649123 0.3 0.017669584394270015 0.3481521242669658 1 28 ATLAS 0.027878469075358715 arXiv:2307.07584 139
1003.5087719298245 0.3 0.017570285587585638 0.34739226009832347 1 28 ATLAS 0.027982370801536215 arXiv:2307.07584 139
1005.2631578947369 0.3 0.017470986780901254 0.3466261798293092 1 28 ATLAS 0.02808645454740394 arXiv:2307.07584 139
1007.0175438596491 0.3 0.017371687974216874 0.3458538324776183 1 28 ATLAS 0.028190720312221848 arXiv:2307.07584 139
1008.7719298245614 0.3 0.01727238916753249 0.3450751663091185 1 28 ATLAS 0.02829516809525284 arXiv:2307.07584 139
1010.5263157894736 0.3 0.017173090360848114 0.3442901288264545 1 28 ATLAS 0.028399797895762722 arXiv:2307.07584 139
1012.280701754386 0.3 0.01707379155416373 0.34349866675741847 1 28 ATLAS 0.028504609713020296 arXiv:2307.07584 139
1014.0350877192982 0.3 0.01697449274747935 0.3427007260430794 1 28 ATLAS 0.028609603546297286 arXiv:2307.07584 139
1015.7894736842105 0.3 0.016875193940794966 0.3418962518256651 1 28 ATLAS 0.028714779394868422 arXiv:2307.07584 139
1017.5438596491229 0.3 0.016775895134110583 0.34108518843619456 1 28 ATLAS 0.028820137258011438 arXiv:2307.07584 139
1019.2982456140351 0.3 0.016676596327426206 0.34026747938185153 1 28 ATLAS 0.028925677135007023 arXiv:2307.07584 139
1021.0526315789474 0.3 0.01657729752074182 0.33944306733309443 1 28 ATLAS 0.02903139902513892 arXiv:2307.07584 139
1022.8070175438596 0.3 0.016477998714057442 0.33861189411049875 1 28 ATLAS 0.02913730292769388 arXiv:2307.07584 139
1024.561403508772 0.3 0.01637869990737306 0.33777390067132196 1 28 ATLAS 0.029243388841961683 arXiv:2307.07584 139
1026.3157894736842 0.3 0.01627940110068868 0.33692902709578737 1 28 ATLAS 0.02934965676723513 arXiv:2307.07584 139
1028.0701754385964 0.3 0.016180102294004302 0.33607721257307976 1 28 ATLAS 0.02945610670281011 arXiv:2307.07584 139
1029.8245614035088 0.3 0.01608080348731991 0.3352183953870455 1 28 ATLAS 0.029562738647985556 arXiv:2307.07584 139
1031.578947368421 0.3 0.015981504680635535 0.33435251290159074 1 28 ATLAS 0.029669552602063394 arXiv:2307.07584 139
1033.3333333333333 0.3 0.015882205873951158 0.33347950154577016 1 28 ATLAS 0.029776548564348686 arXiv:2307.07584 139
1035.0877192982457 0.3 0.015782907067266767 0.33259929679855965 1 28 ATLAS 0.02988372653414956 arXiv:2307.07584 139
1036.842105263158 0.3 0.01568360826058239 0.33171183317330494 1 28 ATLAS 0.029991086510777167 arXiv:2307.07584 139
1038.5964912280701 0.3 0.015584309453898012 0.330817044201838 1 28 ATLAS 0.03009862849354578 arXiv:2307.07584 139
