m k res ratio channel r
2202.0202020202023 0.2545454545454545 0 34.648485480133665 11 0.3217714043566952
2286.868686868687 0.30707070707070705 0 27.535710263171566 11 0.41089615542633634
1989.8989898989898 0.012121212121212121 0 88.97197438387352 11 0.004331496429767739
2018.1818181818182 0.10909090909090909 0 79.63919166075073 11 0.16120779549181624
2400.0 0.11313131313131314 0 60.33827920894907 11 0.1825994856783657
1197.979797979798 0.12121212121212122 0 21.07461492196898 13 0.06179635885004809
1226.2626262626263 0.3595959595959596 0 26.880390683819027 13 0.11325661796456225
1565.6565656565658 0.1898989898989899 0 114.23499141329009 13 0.1323545275881532
1961.6161616161617 0.33131313131313134 0 57.12857719780191 12 0.37216951360222655
2216.161616161616 0.00404040404040404 0 69.31763705901278 11 0.17961012740040164
1226.2626262626263 0.09696969696969697 0 22.57667858382731 13 0.03281768035507808
1735.3535353535353 0.3151515151515151 0 118.31158130005946 13 0.2553191168213557
1749.4949494949497 0.33535353535353535 0 116.96716715601178 13 0.2042822486451059
1579.7979797979797 0.20202020202020202 0 118.14474878252415 13 0.1373625018431932
1848.4848484848485 0.20202020202020202 0 52.60657488555956 14 0.19235019970081216
2315.151515151515 0.11717171717171718 0 62.02619657553811 11 0.2468791817187685
2258.5858585858587 0.1898989898989899 0 45.92263827427615 11 0.2637593732003414
1113.1313131313132 0.4 0 19.813802253314698 13 0.10472488237670899
1141.4141414141413 0.20606060606060606 0 18.644793550391167 13 0.07821682422157206
2046.4646464646464 0.18585858585858586 0 23.161863550680284 11 0.10947456328426866
1848.4848484848485 0.06868686868686869 0 74.841498251077 11 0.1265188507021515
1367.6767676767677 0.06868686868686869 0 34.233028365498164 13 0.007605327305655243
1593.939393939394 0.1898989898989899 0 118.72615490711595 13 0.14512324596207904
1084.8484848484848 0.20606060606060606 0 17.469060674739758 13 0.030502035026761885
1791.919191919192 0.1292929292929293 0 86.24214228062212 15 0.06416901305328232
1961.6161616161617 0.18585858585858586 0 65.5334677835501 12 0.07937504177737541
1056.5656565656566 0.0202020202020202 0 16.436114900540087 15 0.014711966493527908
1367.6767676767677 0.00404040404040404 0 34.96305104030819 15 0.00027705600941777957
1113.1313131313132 0.21818181818181817 0 18.66456967717806 13 0.050935585187163096
1636.3636363636365 0.33535353535353535 0 135.13501701002713 13 0.2622897888282591
2173.7373737373737 0.17777777777777778 0 25.644282183011633 11 0.12719618111950495
1367.6767676767677 0.21818181818181817 0 31.49812019611137 15 0.11169644658248916
1707.0707070707072 0.3474747474747475 0 145.8919962600086 13 0.27216313873978254
1763.6363636363635 0.16565656565656567 0 93.15195595676374 13 0.14413312193593414
2258.5858585858587 0.36767676767676766 0 17.572869846619618 27 0.4447583913756285
1296.969696969697 0.26666666666666666 0 27.59483123241417 13 0.12852308518260347
1678.7878787878788 0.298989898989899 0 150.4352494558872 13 0.1970106126388566
1735.3535353535353 0.3434343434343434 0 117.4952237953779 13 0.30089631927312244
1551.5151515151515 0.298989898989899 0 121.77179279345947 13 0.1673162925533623
1622.2222222222222 0.3717171717171717 0 134.0175628440264 13 0.27235167118840997
2117.1717171717173 0.21818181818181817 0 17.649513415280577 27 0.14367731877444176
2159.5959595959594 0.26666666666666666 0 17.474972376415135 27 0.22510971994339277
1000.0 0.028282828282828285 0 17.576814892609175 15 0.017468972996858335
2343.4343434343436 0.0808080808080808 0 65.7753970202069 11 0.16681383892830912
1098.989898989899 0.27474747474747474 0 17.052305790489264 13 0.09340332531633538
2117.1717171717173 0.06464646464646465 0 74.10294306765955 11 0.17069623399179917
1395.9595959595958 0.05656565656565657 0 40.241110388937415 15 0.07041135543158242
1084.8484848484848 0.30303030303030304 0 16.14852234105456 13 0.07705166017667277
2343.4343434343436 0.1414141414141414 0 50.66811358487365 11 0.17893168644217416
2060.606060606061 0.11717171717171718 0 62.00946760738042 11 0.10400401798711531
1876.7676767676767 0.3838383838383838 0 56.56342391247469 12 0.3320759452346028
1905.050505050505 0.298989898989899 0 54.476505608447425 12 0.32198301647207256
1565.6565656565658 0.20202020202020202 0 116.01771097790687 13 0.13082556523852434
2173.7373737373737 0.20606060606060606 0 46.1638911247278 11 0.28166409300565526
2032.3232323232323 0.19393939393939394 0 62.00598717195638 11 0.24300736383003693
1325.2525252525252 0.0404040404040404 0 28.09605176943838 15 0.006890987226799435
1141.4141414141413 0.0808080808080808 0 17.04429628735593 13 0.052840318567679685
2385.8585858585857 0.028282828282828285 0 50.587366135602664 11 0.00724193065298902
1395.9595959595958 0.30707070707070705 0 36.07358353959776 13 0.13731142976836166
1410.1010101010102 0.30303030303030304 0 38.09430819056368 13 0.15560501260360254
2343.4343434343436 0.23030303030303031 0 32.04779296369333 11 0.2722835697877005
1070.7070707070707 0.13737373737373737 0 15.377819113645721 15 0.05234204218565097
1311.111111111111 0.2787878787878788 0 28.773342083255333 13 0.12984677916542137
1975.7575757575758 0.2868686868686869 0 58.675461727774916 12 0.27448883511669925
1183.8383838383838 0.01616161616161616 0 19.197092191785742 15 0.049150870428768
1947.4747474747473 0.10909090909090909 0 76.89667101300597 11 0.1499578726923711
1551.5151515151515 0.012121212121212121 0 116.41565880026091 15 0.061031447766798745
1509.090909090909 0.08484848484848485 0 116.93620415301142 15 0.07076450283704201
1240.4040404040404 0.05656565656565657 0 25.971578363720564 13 0.004807853017422419
