mass sin_l res ratio channel width
2217.6352705410823 0.5430861723446894 -1 -0.5430861723446894 -1 0.45881064231006224
1858.5170340681364 0.8817635270541081 -1 -0.8817635270541081 -1 0.8494715493506593
1064.5290581162324 0.6372745490981964 0 1.1723629265109545 1 0.1455554731465656
1078.5571142284568 0.04809619238476953 1 0.08872349760966412 1 0.0008510806287041695
1070.1402805611222 0.1503006012024048 1 0.2768042852994086 1 0.008182090803944296
1726.6533066132265 0.9018036072144288 -1 -0.9018036072144288 -1 0.7669077170437205
1314.2284569138278 0.30861723446893785 1 0.5005963829772633 0 0.052032338750374434
1423.6472945891783 0.6993987975951903 0 1.1910800811545332 0 0.31358318137609004
2209.2184368737476 0.7454909819639278 -1 -0.7454909819639278 -1 0.8579812333670398
1799.5991983967938 0.5871743486973947 -1 -0.5871743486973947 -1 0.3531800401990598
1406.813627254509 0.6212424849699398 0 1.0570610665540918 0 0.24159764733315342
2063.3266533066135 0.657314629258517 -1 -0.657314629258517 -1 0.5818309984578922
1858.5170340681364 0.6793587174348696 -1 -0.6793587174348696 -1 0.504246487205202
2284.9699398797593 0.17635270541082163 -1 -0.17635270541082163 -1 0.05136195063995048
1353.5070140280561 0.46492985971943884 1 0.7705058056694498 0 0.12525351875338137
2153.1062124248497 0.9799599198396792 -1 -0.9799599198396792 -1 1.4081947599051503
2270.941883767535 0.8677354709418837 -1 -0.8677354709418837 -1 1.2282956454439962
2029.6593186372745 0.1623246492985972 -1 -0.1623246492985972 -1 0.034334374579083504
1129.058116232465 0.9579158316633266 0 1.7446051370956692 1 0.36996335766305904
1984.7695390781564 0.4629258517034068 -1 -0.4629258517034068 -1 0.2670277452893779
1852.9058116232466 0.08617234468937875 -1 -0.08617234468937875 -1 0.008064062701064445
2329.8597194388776 0.5871743486973947 -1 -0.5871743486973947 -1 0.5919844309453236
1490.9819639278558 0.6312625250501002 0 1.078792648528536 0 0.28019875431105523
1227.254509018036 0.1503006012024048 1 0.2482020861385341 1 0.010761537332360512
1476.9539078156313 0.35871743486973945 1 0.6125831463446658 0 0.08878500856384972
1140.2805611222445 0.29058116232464926 1 0.5234263367676916 1 0.03472413312481804
2268.13627254509 0.4228456913827655 -1 -0.4228456913827655 -1 0.29094992965674454
1836.0721442885772 0.8496993987975952 -1 -0.8496993987975952 -1 0.7698767446397364
1687.374749498998 0.8496993987975952 0 1.227255452821189 0 0.6502219822697993
1976.3527054108217 0.07414829659318636 -1 -0.07414829659318636 -1 0.006792732320385622
1841.683366733467 0.5190380761523046 -1 -0.5190380761523046 -1 0.2890277640556983
1844.4889779559119 0.11022044088176351 -1 -0.11022044088176351 -1 0.013073373238408799
1667.7354709418837 0.2725450901803607 1 0.3915163901490458 0 0.0653489299900758
1948.2965931863728 0.9258517034068136 -1 -0.9258517034068136 -1 1.0292144200057307
2248.496993987976 0.42685370741482964 -1 -0.42685370741482964 -1 0.29137932786997917
1816.432865731463 0.4929859719438877 -1 -0.4929859719438877 -1 0.25364047882884855
1681.7635270541082 0.9559118236472945 0 1.3785180270232325 0 0.8174728105888902
2183.9679358717435 0.7775551102204408 -1 -0.7775551102204408 -1 0.912158568926036
1648.0961923847694 0.8897795591182364 0 1.2713018223447283 0 0.6802003456059872
1634.068136272545 0.04609218436873747 1 0.06560334945205594 0 0.0017943261675253692
2268.13627254509 0.5831663326653306 -1 -0.5831663326653306 -1 0.5534002154772529
1182.3647294589177 0.9018036072144288 0 1.5582717900142196 1 0.35958823229908976
1959.5190380761524 0.879759519038076 -1 -0.879759519038076 -1 0.9400261565742333
1303.0060120240482 0.3226452905811623 1 0.5201948767679194 0 0.055902843806157
2343.887775551102 0.9759519038076151 -1 -0.9759519038076151 -1 1.6551872890391295
2214.8296593186374 0.6012024048096192 -1 -0.6012024048096192 -1 0.5608384860460326
1634.068136272545 0.7935871743486973 0 1.1295185383919197 0 0.5319074712413201
1569.5390781563126 0.907815631262525 0 1.3523615478334245 0 0.642161138775147
2212.0240480961925 0.30861723446893785 -1 -0.30861723446893785 -1 0.1474129862972956
1112.2244488977956 0.6653306613226453 0 1.2321967061006716 1 0.17319237220576114
1210.4208416833667 0.7034068136272544 0 1.1810800068139238 1 0.22928083611377142
1454.5090180360721 0.4248496993987976 1 0.7246756887265398 0 0.12078227582834189
1350.7014028056112 0.8577154308617234 0 1.4192511105498846 0 0.42452082331561536
1171.1422845691384 0.13627254509018036 1 0.23826365362421345 1 0.00805588521077797
1389.9799599198398 0.40881763527054105 1 0.6914425943322041 0 0.10213453823904024
2071.743486973948 0.2865731462925851 -1 -0.2865731462925851 -1 0.11149549571122354
1513.426853707415 0.9498997995991983 0 1.579046761074062 0 0.6537034929513535
2380.3607214428857 0.04008016032064128 -1 -0.04008016032064128 -1 0.002879130616928603
1109.4188376753507 0.06613226452905811 1 0.1227372356180667 1 0.0017024964600495217
1131.8637274549098 0.08216432865731463 1 0.14922883270901885 1 0.0027354371492522437
1589.1783567134269 0.969939879759519 0 1.394227800025821 0 0.7515190902979577
2355.1102204408817 0.19839679358717432 -1 -0.19839679358717432 -1 0.06905713061634297
