mass br_wb br_zt br_ht s_r
300 0.41254109951796586 0.3656853928705261 0.2217735076115081 0.1
301 0.3932904647494598 0.3550134500596132 0.251696085190927 0.1
302 0.37780693235006796 0.3471554394394012 0.2750376282105309 0.1
303 0.36478373677387027 0.3410766752938779 0.29413958793225176 0.1
304 0.3535146549787436 0.3362280053420444 0.31025733967921204 0.1
305 0.3435687393947228 0.3322801826386553 0.324151077966622 0.1
306 0.33466116880815705 0.3290193296629081 0.33631950152893486 0.1
307 0.3265926959578059 0.32629834982392636 0.3471089542182677 0.1
308 0.31921786692218745 0.3240116440519487 0.35677048902586395 0.1
309 0.31242691034948766 0.32208082503864605 0.3654922646118663 0.1
310 0.30613474566515836 0.3204461204126646 0.37341913392217696 0.1
311 0.3002739706034022 0.3190609346423621 0.3806650947542357 0.1
312 0.29479020219374014 0.3178882666192175 0.38732153118704227 0.1
313 0.2896388753427524 0.3168982688806333 0.39346285577661416 0.1
314 0.2847829795731133 0.316066536726014 0.39915048370087264 0.1
315 0.2801914196037977 0.3153728794407655 0.4044357009554368 0.1
316 0.27583780254308843 0.31480041899981304 0.40936177845709854 0.1
317 0.27169952400333824 0.3143349166900915 0.41396555930657014 0.1
318 0.26775706818245587 0.3139642617774899 0.41827867004005426 0.1
319 0.263993464018964 0.31367807757552335 0.42232845840551275 0.1
320 0.26039385712168867 0.31346741401240524 0.42613872886590604 0.1
321 0.2569451688850214 0.3133245048947326 0.42973032622024604 0.1
322 0.2536358221592524 0.31324257422281576 0.4331216036179318 0.1
323 0.2504555183574464 0.3132156801567476 0.436328801485806 0.1
324 0.24739505476355983 0.3132385882081844 0.4393663570282556 0.1
325 0.24444617358506915 0.31330666735205753 0.44224715906287326 0.1
326 0.24160143630992909 0.31341580428319826 0.4449827594068728 0.1
327 0.23885411841037357 0.3135623321629873 0.4475835494266392 0.1
328 0.23619812053935715 0.31374297103066723 0.4500589084299756 0.1
329 0.23362789319555238 0.3139547776751031 0.4524173291293444 0.1
330 0.23113837246382987 0.3141951032326577 0.45466652430351223 0.1
331 0.22872492492240526 0.3144615571357206 0.45681351794187425 0.1
332 0.22638330018278546 0.31475197631294105 0.4588647235042736 0.1
333 0.22410958982137652 0.3150643987570466 0.460826011421577 0.1
334 0.22190019169193684 0.31539704074434 0.4627027675637232 0.1
335 0.2197517787905996 0.31574827712262477 0.4644999440867756 0.1
336 0.21766127199086416 0.31611662418966247 0.46622210381947327 0.1
337 0.21562581608294804 0.31650072476845476 0.46787345914859724 0.1
338 0.21364275864643376 0.3168993351533479 0.46945790620021827 0.1
339 0.21170963136198687 0.3173113136557069 0.4709790549823061 0.1
