mass k_t sing_prod ratio result channel label
1000.0 0.2 0.023449613376714983 0.1673818312028543 1 25 ATLAS
1002.7568922305765 0.2 0.023303940346209837 0.1669959360759079 1 25 ATLAS
1005.5137844611529 0.2 0.023158267315704688 0.1666073972238267 1 25 ATLAS
1008.2706766917294 0.2 0.02301259428519954 0.16621617599135272 1 25 ATLAS
1011.0275689223058 0.2 0.022866921254694392 0.1658222331669815 1 25 ATLAS
1013.7844611528822 0.2 0.02272124822418925 0.165425528970087 1 25 ATLAS
1016.5413533834586 0.2 0.022575575193684104 0.16502602303774794 1 25 ATLAS
1019.2982456140351 0.2 0.022429902163178955 0.16462367441126707 1 25 ATLAS
1022.0551378446115 0.2 0.022284229132673805 0.16421844152237444 1 25 ATLAS
1024.812030075188 0.2 0.02213855610216866 0.16381028217910348 1 25 ATLAS
1027.5689223057643 0.2 0.021992883071663517 0.16339915355133147 1 25 ATLAS
1030.3258145363409 0.2 0.021847210041158364 0.1629850121559723 1 25 ATLAS
1033.0827067669172 0.2 0.021701537010653218 0.16256781384181232 1 25 ATLAS
1035.8395989974938 0.2 0.02155586398014807 0.16214751377397613 1 25 ATLAS
1038.5964912280701 0.2 0.021410190949642922 0.16172406641801265 1 25 ATLAS
1041.3533834586467 0.2 0.02126451791913777 0.16129742552358836 1 25 ATLAS
1044.110275689223 0.2 0.021118844888632627 0.16086754410777596 1 25 ATLAS
1046.8671679197996 0.2 0.020973171858127478 0.16043437443792433 1 25 ATLAS
1049.624060150376 0.2 0.02082749882762233 0.15999786801409946 1 25 ATLAS
1052.3809523809523 0.2 0.020681825797117193 0.15955797555107912 1 25 ATLAS
1055.1378446115289 0.2 0.020536152766612036 0.1591146469598891 1 25 ATLAS
1057.8947368421052 0.2 0.020390479736106894 0.15866783132886736 1 25 ATLAS
1060.6516290726818 0.2 0.02024480670560174 0.15821747690423763 1 25 ATLAS
1063.408521303258 0.2 0.0200991336750966 0.1577635310701801 1 25 ATLAS
1066.1654135338347 0.2 0.019953460644591445 0.1573059403283813 1 25 ATLAS
1068.922305764411 0.2 0.019807787614086306 0.15684465027704633 1 25 ATLAS
1071.6791979949876 0.2 0.01966211458358115 0.156379605589356 1 25 ATLAS
1074.436090225564 0.2 0.019516441553076008 0.15591074999135204 1 25 ATLAS
1077.1929824561403 0.2 0.019370768522570865 0.1554380262392294 1 25 ATLAS
1079.9498746867168 0.2 0.019225095492065712 0.15496137609601804 1 25 ATLAS
1082.7067669172932 0.2 0.019079422461560573 0.15448074030763387 1 25 ATLAS
1085.4636591478697 0.2 0.018933749431055417 0.15399605857827633 1 25 ATLAS
1088.220551378446 0.2 0.018788076400550274 0.1535072695451537 1 25 ATLAS
1090.9774436090227 0.2 0.01864240337004512 0.1530143107525108 1 25 ATLAS
1093.734335839599 0.2 0.01849673033953998 0.15251711862493783 1 25 ATLAS
1096.4912280701753 0.2 0.018351057309034836 0.15201562843993566 1 25 ATLAS
1099.248120300752 0.2 0.018205384278529687 0.15150977429971138 1 25 ATLAS
1102.0050125313282 0.2 0.01805971124802454 0.15042176061442414 1 25 ATLAS
1104.7619047619048 0.2 0.017914038217519388 0.1491179502538463 1 25 ATLAS
1107.5187969924812 0.2 0.017768365187014246 0.14781582385455797 1 25 ATLAS
1110.2756892230577 0.2 0.017622692156509093 0.1465153746851718 1 25 ATLAS
1113.032581453634 0.2 0.01747701912600395 0.1452165960812969 1 25 ATLAS
1115.7894736842106 0.2 0.017331346095498794 0.1439194814445787 1 25 ATLAS
1118.546365914787 0.2 0.017185673064993655 0.142624024241758 1 25 ATLAS
1121.3032581453633 0.2 0.017040000034488512 0.1413302180037423 1 25 ATLAS
1124.0601503759399 0.2 0.01689432700398336 0.14003805632469604 1 25 ATLAS
1126.8170426065162 0.2 0.016748653973478217 0.13874753286114472 1 25 ATLAS
1129.5739348370928 0.2 0.016602980942973064 0.1374586413310931 1 25 ATLAS
1132.3308270676691 0.2 0.01645730791246792 0.13617137551316003 1 25 ATLAS
1135.0877192982457 0.2 0.01631163488196277 0.1348857292457262 1 25 ATLAS
1137.844611528822 0.2 0.016165961851457626 0.13360169642609726 1 25 ATLAS
1140.6015037593984 0.2 0.016020288820952484 0.13231927100967944 1 25 ATLAS
1143.358395989975 0.2 0.01587461579044733 0.13103844700917033 1 25 ATLAS
1146.1152882205513 0.2 0.01572894275994219 0.12975921849376218 1 25 ATLAS
1148.8721804511279 0.2 0.015583269729437035 0.1284815795883582 1 25 ATLAS
1151.6290726817042 0.2 0.015437596698931893 0.12720552447280278 1 25 ATLAS
1154.3859649122808 0.2 0.015291923668426738 0.12593104738112282 1 25 ATLAS
1157.142857142857 0.2 0.015146250637921597 0.12465814260078337 1 25 ATLAS
1159.8997493734337 0.2 0.015000577607416445 0.12338680447195344 1 25 ATLAS
1162.65664160401 0.2 0.014854904576911302 0.12211702738678587 1 25 ATLAS
1165.4135338345864 0.2 0.01470923154640616 0.120848805788707 1 25 ATLAS
1168.170426065163 0.2 0.014563558515901005 0.1195821341717193 1 25 ATLAS
1170.9273182957393 0.2 0.014417885485395864 0.118317007079715 1 25 ATLAS
1173.6842105263158 0.2 0.01427221245489071 0.1170534191057999 1 25 ATLAS
1176.4411027568922 0.2 0.014126539424385569 0.11579136489162999 1 25 ATLAS
1179.1979949874687 0.2 0.013980866393880412 0.11453083912675645 1 25 ATLAS
1181.954887218045 0.2 0.013835193363375272 0.11327183654798359 1 25 ATLAS
1184.7117794486217 0.2 0.013689520332870119 0.1120143519387349 1 25 ATLAS
1187.468671679198 0.2 0.013543847302364976 0.11075838012843117 1 25 ATLAS
1190.2255639097743 0.2 0.013398174271859836 0.10950391599187707 1 25 ATLAS
1192.982456140351 0.2 0.013252501241354681 0.10825095444865826 1 25 ATLAS
1195.7393483709272 0.2 0.013106828210849538 0.10699949046254843 1 25 ATLAS
1198.4962406015038 0.2 0.012961155180344386 0.10574951904092468 1 25 ATLAS
1201.2531328320802 0.2 0.012847014434622479 0.105297103168051 1 25 ATLAS
1204.0100250626567 0.2 0.012770712430640454 0.10580851854647286 1 25 ATLAS
1206.766917293233 0.2 0.012694410426658432 0.10633143581930739 1 25 ATLAS
1209.5238095238096 0.2 0.012618108422676402 0.106866239558244 1 25 ATLAS
1212.280701754386 0.2 0.012541806418694386 0.10741333177257048 1 25 ATLAS
1215.0375939849623 0.2 0.012465504414712362 0.10797313290737168 1 25 ATLAS
1217.7944862155389 0.2 0.012389202410730334 0.10854608291111595 1 25 ATLAS
