mass result channel_or_id theo_cross_section ratio observed_limit sin_R
602.2988505747126 1 15 0.18579599586521123 0.5292073252557825 0.35108356781609207 0.1
701.9157088122604 1 15 0.12255978286693728 0.47584506970540474 0.25756236781609176 0.1
798.4674329501916 1 13 0.08401127021587854 0.1467238711614782 0.5725807910521883 0.1
899.6168582375478 1 15 0.05873860950299617 0.21222761178054209 0.2767717593869733 0.1
999.2337164750958 1 13 0.04351665070924412 0.10304718918800972 0.4222982795760488 0.1
1100.3831417624522 1 9 0.03042576961781789 0.12229888490088528 0.2487820689655172 0.1
1203.065134099617 1 9 0.022115603702667824 0.128456049101954 0.17216475095785438 0.1
1302.6819923371647 1 9 0.017363636434413063 0.08732311722384395 0.19884352490421459 0.1
1397.7011494252874 1 9 0.013365525123375433 0.06765598370704666 0.1975512643678161 0.1
1500.3831417624524 1 9 0.010295639731827342 0.0702560536310527 0.14654452107279678 0.1
1598.4674329501918 1 9 0.007927339667670188 0.08674954564238511 0.09138191570881214 0.1
1701.1494252873563 1 9 0.00622584263227318 0.08522647024699728 0.0730505747126437 0.1
1797.7011494252874 1 9 0.005079464850276093 0.0839596918292397 0.06049885057471263 0.1
