mass k_t sing_prod ratio result channel label gamma arXiv limunosity
1000.0 0.3 0.018158164814751503 0.3658107572668113 1 28 ATLAS 0.02777474936961439 arXiv:2307.07584 139
1003.5175879396985 0.3 0.017974688375147617 0.36447067777764763 1 28 ATLAS 0.02798289338039793 arXiv:2307.07584 139
1007.035175879397 0.3 0.017791230924927057 0.36311115162384805 1 28 ATLAS 0.028191769133213924 arXiv:2307.07584 139
1010.5527638190955 0.3 0.01760781121105296 0.3617316843918615 1 28 ATLAS 0.02840137662210932 arXiv:2307.07584 139
1014.070351758794 0.3 0.01742444798048844 0.36033177738937083 1 28 ATLAS 0.02861171584117858 arXiv:2307.07584 139
1017.5879396984925 0.3 0.017241159980196635 0.358910927840517 1 28 ATLAS 0.028822786784564073 arXiv:2307.07584 139
1021.105527638191 0.3 0.017057965957140663 0.35746862910439947 1 28 ATLAS 0.029034589446456545 arXiv:2307.07584 139
1024.6231155778894 0.3 0.016874884658283653 0.3560043709181093 1 28 ATLAS 0.029247123821095383 arXiv:2307.07584 139
1028.140703517588 0.3 0.016691934830588704 0.3545176396655958 1 28 ATLAS 0.02946038990276895 arXiv:2307.07584 139
1031.6582914572864 0.3 0.016509135221018982 0.3530079186737027 1 28 ATLAS 0.02967438768581486 arXiv:2307.07584 139
1035.175879396985 0.3 0.016326504576537587 0.3514746885367563 1 28 ATLAS 0.02988911716462013 arXiv:2307.07584 139
1038.6934673366834 0.3 0.016144061644107657 0.34991742747111676 1 28 ATLAS 0.03010457833362135 arXiv:2307.07584 139
1042.211055276382 0.3 0.015961825170692296 0.3483356117011444 1 28 ATLAS 0.03032077118730491 arXiv:2307.07584 139
1045.7286432160804 0.3 0.015779813903254655 0.34672871587806464 1 28 ATLAS 0.03053769572020693 arXiv:2307.07584 139
1049.2462311557788 0.3 0.015598046588757849 0.34509621353323544 1 28 ATLAS 0.030755351926913477 arXiv:2307.07584 139
1052.7638190954774 0.3 0.015416541974164989 0.3434375775673612 1 28 ATLAS 0.030973739802060533 arXiv:2307.07584 139
1056.2814070351758 0.3 0.01523531880643922 0.341752280777201 1 28 ATLAS 0.031192859340333955 arXiv:2307.07584 139
1059.7989949748744 0.3 0.01505439583254365 0.34003979642134663 1 28 ATLAS 0.0314127105364695 arXiv:2307.07584 139
1063.3165829145728 0.3 0.014873791799441424 0.33829959882664906 1 28 ATLAS 0.031633293385252746 arXiv:2307.07584 139
1066.8341708542714 0.3 0.014693525454095644 0.336531164036877 1 28 ATLAS 0.03185460788151904 arXiv:2307.07584 139
1070.3517587939698 0.3 0.014513615543469457 0.33473397050518894 1 28 ATLAS 0.03207665402015334 arXiv:2307.07584 139
1073.8693467336684 0.3 0.01433408081452597 0.3329074998319849 1 28 ATLAS 0.03229943179609016 arXiv:2307.07584 139
1077.3869346733668 0.3 0.014154940014228323 0.3310512375496858 1 28 ATLAS 0.032522941204313344 arXiv:2307.07584 139
1080.9045226130654 0.3 0.013976211889539625 0.3291646739559564 1 28 ATLAS 0.032747182239855996 arXiv:2307.07584 139
1084.4221105527638 0.3 0.01379791518742302 0.3272473049968475 1 28 ATLAS 0.03297215489780018 arXiv:2307.07584 139
1087.9396984924624 0.3 0.013620068654841612 0.325298633201278 1 28 ATLAS 0.03319785917327682 arXiv:2307.07584 139
1091.4572864321608 0.3 0.013442691038758548 0.32331816866821417 1 28 ATLAS 0.03342429506146544 arXiv:2307.07584 139
1094.9748743718592 0.3 0.01326580108613694 0.3213054301078206 1 28 ATLAS 0.03365146255759393 arXiv:2307.07584 139
1098.4924623115578 0.3 0.013089417543939903 0.3192599459377648 1 28 ATLAS 0.03387936165693831 arXiv:2307.07584 139
1102.0100502512562 0.3 0.012914771346744614 0.3172108301590749 1 28 ATLAS 0.03410799235482246 arXiv:2307.07584 139
1105.5276381909548 0.3 0.012747243794147357 0.31529023139011375 1 28 ATLAS 0.03433735464661788 arXiv:2307.07584 139
1109.0452261306532 0.3 0.012587139660492058 0.3135087126537281 1 28 ATLAS 0.03456744852774335 arXiv:2307.07584 139
1112.5628140703518 0.3 0.012434069364753329 0.3118598027193122 1 28 ATLAS 0.03479827399366471 arXiv:2307.07584 139
1116.0804020100502 0.3 0.012287643325905817 0.31033679813038945 1 28 ATLAS 0.035029831039894474 arXiv:2307.07584 139
1119.5979899497488 0.3 0.012147471962924134 0.30893275923304514 1 28 ATLAS 0.035262119661991616 arXiv:2307.07584 139
1123.1155778894472 0.3 0.01201316569478293 0.3076405062317186 1 28 ATLAS 0.035495139855561166 arXiv:2307.07584 139
1126.6331658291458 0.3 0.011884334940456818 0.30645261527817386 1 28 ATLAS 0.03572889161625394 arXiv:2307.07584 139
1130.1507537688442 0.3 0.011760590118920444 0.30536141459974087 1 28 ATLAS 0.035963374939766125 arXiv:2307.07584 139
1133.6683417085428 0.3 0.011641541649148426 0.3043589806731708 1 28 ATLAS 0.03619858982183909 arXiv:2307.07584 139
1137.1859296482412 0.3 0.011526799950115404 0.30343713445071185 1 28 ATLAS 0.03643453625825888 arXiv:2307.07584 139
1140.7035175879396 0.3 0.011415975440796007 0.3025874376452905 1 28 ATLAS 0.03667121424485594 arXiv:2307.07584 139
1144.2211055276382 0.3 0.011308678540164855 0.30180118908193254 1 28 ATLAS 0.03690862377750478 arXiv:2307.07584 139
1147.7386934673368 0.3 0.011204519667196586 0.30106942112285057 1 28 ATLAS 0.03714676485212356 arXiv:2307.07584 139
