mass sin_l res ratio channel width
1328.256513026052 0.719438877755511 0 2.9384839491821033 53 0.2888311367287131
1701.4028056112224 0.2124248496993988 1 0.7013342082239713 52 0.04131742162026063
2248.496993987976 0.9058116232464929 -1 -0.9058116232464929 -1 1.3121285944399965
2223.246492985972 0.23847695390781562 -1 -0.23847695390781562 -1 0.08891680750662913
1437.6753507014027 0.018036072144288574 1 0.06675835728711133 53 0.00021266914821809195
2242.8857715430863 0.7895791583166332 -1 -0.7895791583166332 -1 0.992022720883243
1841.683366733467 0.1903807615230461 1 0.5248751658251903 52 0.03888546042251423
2183.9679358717435 0.2685370741482966 -1 -0.2685370741482966 -1 0.1087968916970182
2270.941883767535 0.7314629258517034 -1 -0.7314629258517034 -1 0.8727962033200688
1653.7074148296592 0.2284569138276553 1 0.762215067101233 52 0.0451474267537596
1213.2264529058116 0.3286573146292585 0 1.4131335459146654 53 0.05028662400933791
2024.0480961923847 0.30260521042084165 1 0.6650960164756996 52 0.1186610791360118
1005.6112224448898 0.27655310621242485 0 1.2602607985777152 53 0.024460451225134378
1092.5851703406813 0.7695390781563125 0 3.1859727152742656 53 0.22358233705888078
1945.4909819639279 0.8496993987975952 0 2.0842245190673876 52 0.8643743824476661
2206.4128256513027 0.29058116232464926 -1 -0.29058116232464926 -1 0.1300241785301299
1213.2264529058116 0.1002004008016032 1 0.43083339814471505 53 0.004674173112111272
1260.9218436873748 0.3947895791583166 0 1.67033655582983 53 0.07837806760997605
1322.6452905811623 0.32064128256513025 0 1.3153738514543858 53 0.05688759086531748
2004.4088176352707 0.35270541082164325 1 0.8069800408204152 52 0.158092202299091
1280.561122244489 0.06412825651302605 1 0.2695486850326509 53 0.0021329862950319784
1850.1002004008017 0.5571142284569138 0 1.5219808485079782 52 0.3360395093219235
1364.7294589178357 0.42685370741482964 0 1.695332396816834 53 0.10733614954483096
1746.2925851703408 0.533066132264529 0 1.652305109804759 52 0.274097784408244
1569.5390781563126 0.6392785571142284 0 2.1276770480189664 52 0.31844100230934186
2004.4088176352707 0.39078156312625245 1 0.8940972043180736 52 0.194068181573571
1886.573146292585 0.01603206412825651 1 0.04213728936314459 52 0.0002893597516751147
1622.8456913827656 0.13026052104208416 1 0.43706797300868594 52 0.014134688163056304
1572.3446893787575 0.13627254509018036 1 0.4540610153133789 52 0.014521677514726937
2074.549098196393 0.22444889779559116 1 0.4479681140804672 52 0.06857989161142532
1224.4488977955912 0.783567134268537 0 3.3562824076664293 53 0.2911501861877912
1721.0420841683367 0.250501002004008 1 0.8041251696915245 52 0.05879097564534948
1002.8056112224449 0.8196392785571142 0 3.747293907632459 53 0.21366110765543891
1392.7855711422847 0.8216432865731462 0 3.1954812450805417 53 0.4142205229737265
1404.008016032064 0.8016032064128256 0 3.0861475266719136 53 0.40064080568429933
2335.4709418837674 0.9138276553106212 -1 -0.9138276553106212 -1 1.4407683437608787
1179.5591182364728 0.40280561122244485 0 1.7217050357753358 53 0.07140172569650609
1589.1783567134269 0.4188376753507014 0 1.4050925621484276 52 0.1401334667342783
1754.7094188376755 0.01603206412825651 1 0.04912994662726943 52 0.00025032187488630334
1824.8496993987976 0.4509018036072144 0 1.2663724167362804 52 0.21415540480014753
1782.7655310621244 0.8977955911823646 0 2.651080890544552 52 0.8103142613917593
1319.8396793587174 0.1903807615230461 1 0.7827194536257542 53 0.019970096465412604
1659.318637274549 0.1903807615230461 1 0.6345268021988697 52 0.03156551641237504
1507.8156312625251 0.7735470941883766 0 2.632230481898134 53 0.43030076073466816
1681.7635270541082 0.6513026052104208 0 2.161867391920198 52 0.3794925728959892
2164.3286573146293 0.6332665330661322 -1 -0.6332665330661322 -1 0.5942029250494149
1272.1442885771544 0.5871743486973947 0 2.474994401869636 53 0.17647969567199956
1928.6573146292585 0.9418837675350701 0 2.3568245962567436 52 1.0438001230263905
2371.943887775551 0.3927855711422845 -1 -0.3927855711422845 -1 0.2745596658700851
1707.0140280561122 0.3687374749498998 0 1.207576207798655 52 0.12531906752437633
1704.2084168336673 0.3867735470941883 0 1.2717790859560227 52 0.13742548879477676
1676.1523046092184 0.21643286573146292 1 0.7191408026578553 52 0.041627566411827605
2077.354709418838 0.2885771543086172 1 0.5730325557954876 52 0.11367360825159586
