mass k_t sing_prod ratio result channel label gamma arXiv limunosity
1000.0 0.2 0.022206726363352733 0.15851018368642247 1 25 ATLAS 0.012344333053161956 arXiv:2305.03401 139
1003.6789297658863 0.2 0.021998041157189927 0.15784548102024154 1 25 ATLAS 0.012441092404298401 arXiv:2305.03401 139
1007.3578595317725 0.2 0.02178935595102713 0.15717443274719192 1 25 ATLAS 0.012538207491902398 arXiv:2305.03401 139
1011.0367892976589 0.2 0.021580670744864326 0.15649691923686498 1 25 ATLAS 0.01263567831294879 arXiv:2305.03401 139
1014.7157190635452 0.2 0.02137198553870152 0.1558128184738205 1 25 ATLAS 0.01273350486443769 arXiv:2305.03401 139
1018.3946488294314 0.2 0.02116330033253872 0.15512200598530923 1 25 ATLAS 0.012831687143394742 arXiv:2305.03401 139
1022.0735785953177 0.2 0.02095461512637592 0.15442435476670305 1 25 ATLAS 0.012930225146871324 arXiv:2305.03401 139
1025.752508361204 0.2 0.020745929920213114 0.15371973520453697 1 25 ATLAS 0.013029118871944738 arXiv:2305.03401 139
1029.4314381270904 0.2 0.020537244714050308 0.15300801499706596 1 25 ATLAS 0.013128368315718359 arXiv:2305.03401 139
1033.1103678929767 0.2 0.020328559507887506 0.15228905907223408 1 25 ATLAS 0.013227973475321786 arXiv:2305.03401 139
1036.7892976588628 0.2 0.020119874301724714 0.15156272950294608 1 25 ATLAS 0.013327934347910917 arXiv:2305.03401 139
1040.468227424749 0.2 0.01991118909556191 0.150828885419532 1 25 ATLAS 0.013428250930668087 arXiv:2305.03401 139
1044.1471571906354 0.2 0.019702503889399106 0.15008738291928625 1 25 ATLAS 0.013528923220802073 arXiv:2305.03401 139
1047.8260869565217 0.2 0.0194938186832363 0.14933807497295754 1 25 ATLAS 0.013629951215548174 arXiv:2305.03401 139
1051.505016722408 0.2 0.019285133477073495 0.14858081132806233 1 25 ATLAS 0.013731334912168219 arXiv:2305.03401 139
1055.1839464882944 0.2 0.019076448270910693 0.14781543840888695 1 25 ATLAS 0.013833074307950586 arXiv:2305.03401 139
1058.8628762541807 0.2 0.01886776306474789 0.14704179921303753 1 25 ATLAS 0.013935169400210185 arXiv:2305.03401 139
1062.5418060200668 0.2 0.018659077858585095 0.14625973320439034 1 25 ATLAS 0.014037620186288437 arXiv:2305.03401 139
1066.2207357859531 0.2 0.01845039265242229 0.14546907620228805 1 25 ATLAS 0.014140426663553229 arXiv:2305.03401 139
1069.8996655518395 0.2 0.018241707446259487 0.14466966026682096 1 25 ATLAS 0.01424358882939885 arXiv:2305.03401 139
1073.5785953177258 0.2 0.01803302224009668 0.14386131358002138 1 25 ATLAS 0.014347106681245945 arXiv:2305.03401 139
1077.257525083612 0.2 0.01782433703393388 0.14304386032279648 1 25 ATLAS 0.014450980216541419 arXiv:2305.03401 139
1080.9364548494984 0.2 0.017615651827771073 0.14221712054741 1 25 ATLAS 0.014555209432758348 arXiv:2305.03401 139
1084.6153846153845 0.2 0.01740696662160828 0.14138091004531897 1 25 ATLAS 0.014659794327395878 arXiv:2305.03401 139
1088.2943143812709 0.2 0.017198281415445476 0.14053504021015992 1 25 ATLAS 0.01476473489797914 arXiv:2305.03401 139
1091.9732441471572 0.2 0.016989596209282674 0.14062853837647504 1 7 CMS 0.014870031142059079 arXiv:1708.01062 35.9
1095.6521739130435 0.2 0.016780911003119868 0.1413814995594703 1 7 CMS 0.014975683057212353 arXiv:1708.01062 35.9
1099.3311036789298 0.2 0.016572225796957066 0.1421607627464072 1 7 CMS 0.01508169064104119 arXiv:1708.01062 35.9
1103.0100334448161 0.2 0.016414273835543246 0.14110863208806665 1 7 CMS 0.015188053891173269 arXiv:1708.01062 35.9
1106.6889632107022 0.2 0.016267595928518102 0.1396495566921569 1 7 CMS 0.015294772805261507 arXiv:1708.01062 35.9
1110.3678929765886 0.2 0.01612091802149295 0.13819445687755058 1 7 CMS 0.015401847380983961 arXiv:1708.01062 35.9
1114.046822742475 0.2 0.015974240114467797 0.13674332252135557 1 7 CMS 0.015509277616043654 arXiv:1708.01062 35.9
1117.7257525083612 0.2 0.01582756220744265 0.13529614341993432 1 7 CMS 0.015617063508168364 arXiv:1708.01062 35.9
1121.4046822742475 0.2 0.015680884300417492 0.13385290929235655 1 7 CMS 0.01572520505511048 arXiv:1708.01062 35.9
1125.0836120401339 0.2 0.01553420639339234 0.13241360978375769 1 7 CMS 0.015833702254646843 arXiv:1708.01062 35.9
1128.7625418060202 0.2 0.01538752848636719 0.13097823446860357 1 7 CMS 0.015942555104578506 arXiv:1708.01062 35.9
1132.4414715719063 0.2 0.015240850579342043 0.12954677285386548 1 7 CMS 0.0160517636027306 arXiv:1708.01062 35.9
1136.1204013377926 0.2 0.015094172672316889 0.12811921438210766 1 7 CMS 0.01616132774695212 arXiv:1708.01062 35.9
1139.799331103679 0.2 0.01494749476529174 0.12669554843448946 1 7 CMS 0.01627124753511573 arXiv:1708.01062 35.9
1143.4782608695652 0.2 0.01480081685826659 0.12527576433368406 1 7 CMS 0.016381522965117565 arXiv:1708.01062 35.9
1147.1571906354516 0.2 0.014654138951241433 0.12385985134671731 1 7 CMS 0.016492154034877037 arXiv:1708.01062 35.9
1150.836120401338 0.2 0.014507461044216283 0.12244779868772755 1 7 CMS 0.016603140742336625 arXiv:1708.01062 35.9
1154.5150501672242 0.2 0.014360783137191128 0.12103959552064861 1 7 CMS 0.016714483085461685 arXiv:1708.01062 35.9
1158.1939799331103 0.2 0.014214105230165985 0.11963523096181974 1 7 CMS 0.016826181062240222 arXiv:1708.01062 35.9
1161.8729096989966 0.2 0.014067427323140834 0.11823469408252137 1 7 CMS 0.016938234670682718 arXiv:1708.01062 35.9
1165.551839464883 0.2 0.01392074941611568 0.11683797391144256 1 7 CMS 0.017050643908821876 arXiv:1708.01062 35.9
1169.2307692307693 0.2 0.013774071509090529 0.1154450594370783 1 7 CMS 0.017163408774712452 arXiv:1708.01062 35.9
1172.9096989966556 0.2 0.013627393602065375 0.11405593961006093 1 7 CMS 0.017276529266431022 arXiv:1708.01062 35.9
1176.5886287625417 0.2 0.013480715695040231 0.11267060334542672 1 7 CMS 0.017390005382075763 arXiv:1708.01062 35.9
1180.267558528428 0.2 0.013334037788015077 0.11128903952481856 1 7 CMS 0.017503837119766278 arXiv:1708.01062 35.9
1183.9464882943143 0.2 0.013187359880989926 0.10991123699862865 1 7 CMS 0.01761802447764334 arXiv:1708.01062 35.9
1187.6254180602007 0.2 0.013040681973964774 0.10853718458807991 1 7 CMS 0.0177325674538687 arXiv:1708.01062 35.9
1191.304347826087 0.2 0.012894004066939621 0.10716687108725013 1 7 CMS 0.017847466046624877 arXiv:1708.01062 35.9
1194.9832775919733 0.2 0.012747326159914467 0.10580028526503904 1 7 CMS 0.01796272025411494 arXiv:1708.01062 35.9
1198.6622073578596 0.2 0.012600648252889316 0.10443741586708048 1 7 CMS 0.018078330074562294 arXiv:1708.01062 35.9
1202.3411371237457 0.2 0.012472275962354402 0.10278175661509521 1 7 CMS 0.018194295506210458 arXiv:1708.01062 35.9
1206.020066889632 0.2 0.012354364024099616 0.10317613087836118 1 25 ATLAS 0.018310616547322894 arXiv:2305.03401 139
1209.6989966555184 0.2 0.012236452085844828 0.10370709194559186 1 25 ATLAS 0.018427293196182738 arXiv:2305.03401 139
1213.3779264214047 0.2 0.012118540147590041 0.10425451736893782 1 25 ATLAS 0.018544325451092632 arXiv:2305.03401 139
1217.056856187291 0.2 0.012000628209335253 0.10481916381020727 1 25 ATLAS 0.018661713310374486 arXiv:2305.03401 139
1220.7357859531774 0.2 0.011882716271080465 0.10540183537798689 1 25 ATLAS 0.018779456772369304 arXiv:2305.03401 139
1224.4147157190637 0.2 0.011764804332825679 0.10600338739871688 1 25 ATLAS 0.018897555835436924 arXiv:2305.03401 139
1228.0936454849498 0.2 0.0116468923945709 0.10662473055340362 1 25 ATLAS 0.019016010497955864 arXiv:2305.03401 139
1231.772575250836 0.2 0.011528980456316111 0.10726683542200631 1 25 ATLAS 0.019134820758323092 arXiv:2305.03401 139
1235.4515050167224 0.2 0.011411068518061323 0.1079307374831477 1 25 ATLAS 0.019253986614953818 arXiv:2305.03401 139
1239.1304347826087 0.2 0.011293156579806535 0.10861754262327471 1 25 ATLAS 0.019373508066281277 arXiv:2305.03401 139
1242.809364548495 0.2 0.011175244641551747 0.109328433216873 1 25 ATLAS 0.019493385110756562 arXiv:2305.03401 139
1246.4882943143812 0.2 0.011057332703296967 0.11006467484800436 1 25 ATLAS 0.019613617746848392 arXiv:2305.03401 139
1250.1672240802675 0.2 0.010939420765042179 0.11082762375349353 1 25 ATLAS 0.019734205973042932 arXiv:2305.03401 139
1253.8461538461538 0.2 0.010821508826787393 0.11161873507979987 1 25 ATLAS 0.0198551497878436 arXiv:2305.03401 139
1257.5250836120401 0.2 0.010703596888532604 0.11243957205927187 1 25 ATLAS 0.019976449189770804 arXiv:2305.03401 139
1261.2040133779265 0.2 0.010585684950277816 0.11329181622747243 1 25 ATLAS 0.02009810417736185 arXiv:2305.03401 139
1264.8829431438128 0.2 0.010467773012023028 0.11417727882202332 1 25 ATLAS 0.02022011474917067 arXiv:2305.03401 139
1268.561872909699 0.2 0.010349861073768242 0.11509791352549864 1 25 ATLAS 0.02034248090376765 arXiv:2305.03401 139
1272.2408026755852 0.2 0.01023194913551346 0.1160558307409596 1 25 ATLAS 0.02046520263973946 arXiv:2305.03401 139
1275.9197324414715 0.2 0.010114037197258674 0.11705331361958748 1 25 ATLAS 0.020588279955688845 arXiv:2305.03401 139
1279.5986622073578 0.2 0.009996125259003886 0.11809283609652926 1 25 ATLAS 0.02071171285023442 arXiv:2305.03401 139
1283.2775919732442 0.2 0.009878213320749098 0.11917708323477552 1 25 ATLAS 0.020835501322010532 arXiv:2305.03401 139
1286.9565217391305 0.2 0.009760301382494311 0.12030897422915723 1 25 ATLAS 0.020959645369667025 arXiv:2305.03401 139
1290.6354515050168 0.2 0.009642389444239523 0.12149168848529975 1 25 ATLAS 0.02108414499186908 arXiv:2305.03401 139
1294.3143812709031 0.2 0.009524477505984735 0.12272869526399403 1 25 ATLAS 0.02120900018729704 arXiv:2305.03401 139
1297.9933110367892 0.2 0.009406565567729955 0.1240237874729311 1 25 ATLAS 0.021334210954646222 arXiv:2305.03401 139
1301.6722408026756 0.2 0.009306856517108022 0.12466238769502154 1 25 ATLAS 0.021459777292626735 arXiv:2305.03401 139
1305.3511705685619 0.2 0.009228990931645514 0.12445426282571695 1 25 ATLAS 0.021585699199963317 arXiv:2305.03401 139
1309.0301003344482 0.2 0.009151125346183005 0.12424356280977647 1 25 ATLAS 0.021711976675395137 arXiv:2305.03401 139
1312.7090301003345 0.2 0.009073259760720497 0.12403023044826572 1 25 ATLAS 0.021838609717675653 arXiv:2305.03401 139
1316.3879598662206 0.2 0.008995394175257996 0.12381420699431894 1 25 ATLAS 0.021965598325572405 arXiv:2305.03401 139
1320.0668896321072 0.2 0.008917528589795483 0.12359543209776913 1 25 ATLAS 0.02209294249786692 arXiv:2305.03401 139
1323.7458193979933 0.2 0.00883966300433298 0.12337384374744165 1 25 ATLAS 0.022220642233354397 arXiv:2305.03401 139
1327.4247491638796 0.2 0.008761797418870471 0.12314937821099091 1 25 ATLAS 0.022348697530843734 arXiv:2305.03401 139
1331.103678929766 0.2 0.008683931833407963 0.12292196997215805 1 25 ATLAS 0.022477108389157206 arXiv:2305.03401 139
1334.7826086956522 0.2 0.008606066247945455 0.12269155166531727 1 25 ATLAS 0.022605874807130385 arXiv:2305.03401 139
1338.4615384615386 0.2 0.008528200662482947 0.1224580540071727 1 25 ATLAS 0.02273499678361194 arXiv:2305.03401 139
1342.1404682274247 0.2 0.008450335077020444 0.12222140572545831 1 25 ATLAS 0.022864474317463506 arXiv:2305.03401 139
1345.819397993311 0.2 0.008372469491557937 0.1219815334844858 1 25 ATLAS 0.02299430740755953 arXiv:2305.03401 139
1349.4983277591973 0.2 0.008294603906095429 0.12173836180737464 1 25 ATLAS 0.023124496052787078 arXiv:2305.03401 139
1353.1772575250836 0.2 0.00821673832063292 0.12149181299479037 1 25 ATLAS 0.02325504025204573 arXiv:2305.03401 139
1356.85618729097 0.2 0.008138872735170413 0.12124180704000455 1 25 ATLAS 0.023385940004247374 arXiv:2305.03401 139
1360.5351170568563 0.2 0.008061007149707904 0.12098826154008072 1 25 ATLAS 0.023517195308316113 arXiv:2305.03401 139
1364.2140468227426 0.2 0.007983141564245396 0.12073109160297671 1 25 ATLAS 0.023648806163188086 arXiv:2305.03401 139
1367.8929765886287 0.2 0.007905275978782893 0.1204702097503417 1 25 ATLAS 0.023780772567811304 arXiv:2305.03401 139
1371.571906354515 0.2 0.007827410393320387 0.12020552581577224 1 25 ATLAS 0.02391309452114556 arXiv:2305.03401 139
1375.2508361204013 0.2 0.007749544807857878 0.11993694683827698 1 25 ATLAS 0.024045772022162223 arXiv:2305.03401 139
1378.9297658862877 0.2 0.00767167922239537 0.11966437695068367 1 25 ATLAS 0.024178805069844145 arXiv:2305.03401 139
1382.608695652174 0.2 0.007593813636932862 0.11938771726270424 1 25 ATLAS 0.024312193663185495 arXiv:2305.03401 139
1386.28762541806 0.2 0.007515948051470359 0.11910686573835773 1 25 ATLAS 0.024445937801191628 arXiv:2305.03401 139
1389.9665551839466 0.2 0.0074380824660078455 0.11882171706742772 1 25 ATLAS 0.024580037482878965 arXiv:2305.03401 139
1393.6454849498327 0.2 0.007360216880545343 0.11853216253061406 1 25 ATLAS 0.024714492707274792 arXiv:2305.03401 139
1397.324414715719 0.2 0.007282351295082834 0.11823808985801187 1 25 ATLAS 0.024849303473417236 arXiv:2305.03401 139
1401.0033444816054 0.2 0.007208765832327986 0.11799373098759396 1 25 ATLAS 0.024984469780355036 arXiv:2305.03401 139
1404.6822742474917 0.2 0.007146594030126894 0.11789171570508747 1 25 ATLAS 0.025119991627147478 arXiv:2305.03401 139
1408.361204013378 0.2 0.007084422227925801 0.11778829986059776 1 25 ATLAS 0.025255869012864193 arXiv:2305.03401 139
1412.0401337792641 0.2 0.007022250425724712 0.11768344717356864 1 25 ATLAS 0.025392101936585126 arXiv:2305.03401 139
1415.7190635451504 0.2 0.00696007862352362 0.11757712022304238 1 25 ATLAS 0.02552869039740034 arXiv:2305.03401 139
