mass s_L res ratio channel
716.4541925992912 0.11013689604572963 1 0.2512296548778006 31
641.1726484768311 0.7124767753537051 0 1.6824143089592554 31
924.5269059414087 0.19122344645378475 1 0.31790704698380556 31
863.1395707365733 0.8447586735099869 0 1.5510138329500642 31
683.8765054463978 0.5552754551629736 0 1.3112053662609142 31
623.5767301246158 0.24847931024543224 1 0.586749156601919 31
613.0008857844456 0.3727594841929409 1 0.8802194144435614 31
856.2982603551022 0.5256709770243704 1 0.9710605080373463 31
1083.2611215467937 0.10239361781753209 1 0.12138567627711223 31
825.5696175673188 0.037726910301885686 1 0.0716616136782228 31
884.4066201419987 0.22189146213265165 1 0.39984319225211684 31
728.1329654213505 0.4525405935532447 0 1.0079492326392259 31
764.7740196734306 0.5301292257216937 0 1.0994737269001396 31
945.963236890497 0.18995145433889216 1 0.2988523274197235 31
701.1215132941117 0.7881560904713186 0 1.8566659055241672 31
755.6215699578813 0.06071946581349297 1 0.1281339999277924 31
744.9912787001425 0.9646003847980199 0 2.0777861901372923 31
1036.263279832594 0.8182050725904755 0 1.0561821893358259 31
1086.0982171138855 0.2284545092786554 1 0.2695004374812449 31
997.3525914164911 0.8451945843294161 0 1.1782332800685829 31
843.8555405833654 0.3002487769529115 1 0.5608849329294359 31
1074.6517867518387 0.3119365504430145 1 0.3754084408156608 31
719.7165414971611 0.45132562869508164 0 1.0226099299146767 31
832.9048673206084 0.37608817702685615 1 0.7095861056903076 31
640.3638639963833 0.025090942769731894 1 0.059248753926214814 31
1105.034156576532 0.6662796199332696 1 0.7681665636336642 31
681.516116140904 0.5597071785336517 0 1.32167026149694 31
846.7696152403073 0.8996115909587377 0 1.6761173402198875 31
1061.306110274841 0.3144905922892486 1 0.3876031362358597 31
786.9567223878203 0.4404360947402183 1 0.8769039878393536 31
600.0989226391812 0.4506247068498176 0 1.0640872530874144 31
691.2728462935407 0.17433315434773333 1 0.4116633742272111 31
637.6068530920979 0.09658660786912676 1 0.22807577278878163 31
1120.335818862292 0.6663553344982494 1 0.7701448063046836 31
1192.9357646246963 0.7737756244972793 1 0.9048636595538588 31
664.4174134692609 0.6606288906086131 0 1.5599827768702148 31
689.6919896823235 0.34252874393112653 1 0.8088337472242225 31
835.8606506653596 0.1925262085879894 1 0.3622715316422041 31
886.0931712966703 0.6534536906431392 0 1.1757780698186278 31
1083.7296022465566 0.3651545393427017 1 0.43253177631902723 31
784.9903228397214 0.2590431996135272 1 0.5175882999244842 31
704.3011188412931 0.008047782012026716 1 0.018830449352905614 31
1198.7251570973203 0.7193294477285026 1 0.8419869370378262 31
605.8466420143842 0.20678088074166723 1 0.48828414428845024 31
844.7331137675693 0.6976952038097399 0 1.3023079387224052 31
954.6863019738634 0.48237703143751054 1 0.7427154596447157 31
1101.1295392098789 0.45552511060578427 1 0.5248548026739888 31
799.376213383164 0.7769261657002554 0 1.51296010957169 31
669.4187008251251 0.12687442523364545 1 0.29959621960743577 31
947.4856753217545 0.44872045882354095 1 0.703296504642218 31
924.6289217829171 0.10283663702063228 1 0.1709187628654989 31
662.9264880577333 0.04770965527188786 1 0.11265968166483631 31
668.4313280726403 0.8036421056513818 0 1.8976884925951563 31
901.4643611677361 0.42334352966144173 1 0.7495124818348112 31
797.7074299372628 0.1164847161807917 1 0.22750825364553315 31
874.4061676383989 0.7235630340707813 0 1.3153197420350824 31
1109.4531053336495 0.8580223349148433 1 0.9899323499112769 31
607.9046005500047 0.850322142809361 0 2.0079168750127385 31
979.990503678276 0.7193142853150404 0 1.0428997075786681 31
872.0437470632789 0.14683893890940647 1 0.26748544664426244 31
1125.2817722809236 0.28111088795742356 1 0.3251545494727592 31
1062.4026952799388 0.14255751629378555 1 0.1753519615268915 31
626.9906211995084 0.1912086872893446 1 0.45151258626389146 31
935.0264044492553 0.6140086768396879 1 0.9932081687994404 31
825.6985670354601 0.611743485310644 0 1.1618583848660071 31
1193.602230558429 0.5713154554438551 1 0.6681764832952132 31
1077.395976439066 0.8699823568873182 0 1.0419619703161163 31
649.1841342454718 0.8523148505725623 0 2.012622375837968 31
842.9431183269103 0.22599724416660827 1 0.422526760315745 31
1117.3785985991876 0.5911219878551824 1 0.6828685123924633 31
1092.0394653346152 0.03178933000098383 1 0.037119681907850095 31
1150.7046303154868 0.7973841188551831 1 0.9261062618549349 31
971.326650974567 0.3816840118273408 1 0.5646673064275451 31
1096.0640261725634 0.7633507047610394 1 0.8852522211855529 31
1011.2124396823563 0.5208984488462106 1 0.7058444420581884 31
1115.2252984126876 0.4398199552443981 1 0.5079074395028871 31
830.7336706735184 0.7226025884079779 0 1.3660832725510037 31
643.3556967893217 0.9104145429514111 0 2.1498166777234995 31
1138.2841517806517 0.039810448614455374 1 0.0461444257562101 31
1151.355380380583 0.2964882176995096 1 0.34438669489400064 31
697.5774307821653 0.94608817300954 0 2.2340549683435964 31
621.9082007838318 0.35535699794108044 1 0.8391258758267247 31
637.1118242041032 0.23623014874268433 1 0.557824474004728 31
1116.2101275347022 0.9729642316547772 0 1.1237643924382161 31
936.501803073101 0.8324227200232915 0 1.3414183677699156 31
909.3668517314298 0.6873147033092591 0 1.1903727328693245 31
1080.141386634507 0.3449542897561996 1 0.41116465371926414 31
1149.662975706364 0.19063152709292464 1 0.22136800238909848 31
1034.6510196156792 0.8098334235872444 0 1.0485729403009345 31
993.1029182644966 0.7202784497696084 0 1.0136468150791769 31
