mass br_wb br_zt br_ht s_l
300 0.7652614087963335 0.09777499746483731 0.1369635937388291 0.1
301 0.745507788794405 0.09669939599139453 0.15779281521420055 0.1
302 0.7294957318326128 0.0960243115370737 0.1744799566303134 0.1
303 0.7159658273431091 0.0956046554403807 0.1884295172165103 0.1
304 0.7042294637128343 0.09536262444435807 0.2004079118428077 0.1
305 0.693861931272111 0.09525115712898757 0.21088691159890133 0.1
306 0.6845797432445088 0.09523944752150118 0.22018080923398992 0.1
307 0.6761827494007874 0.09530616645493165 0.228511084144281 0.1
308 0.6685235690949783 0.09543591210110895 0.23604051880391272 0.1
309 0.6614900697124791 0.09561719263869466 0.2428927376488262 0.1
310 0.6549946721126654 0.09584120557250982 0.2491641223148249 0.1
311 0.6489674902895038 0.09610106156640093 0.25493144814409535 0.1
312 0.643351749138032 0.09639127064642922 0.2602569802155388 0.1
313 0.6381006194992386 0.09670739054295246 0.26519198995780885 0.1
314 0.633174969420462 0.0970457791388854 0.26977925144065257 0.1
315 0.6285417272815687 0.09740341596348398 0.27405485675494734 0.1
316 0.6241726651007585 0.09777777076948713 0.27804956412975435 0.1
317 0.6200434774635607 0.09816670500118253 0.2817898175352569 0.1
318 0.6161330729082068 0.09856839672985174 0.2852985303619414 0.1
319 0.6124230208931533 0.0989812826486378 0.2885956964582088 0.1
320 0.6088971146200257 0.0994040126765104 0.2916988727034638 0.1
321 0.6055410214329903 0.09983541402181781 0.29462356454519173 0.1
322 0.6023420003195314 0.10027446243849819 0.2973835372419704 0.1
323 0.599288671458679 0.10072025901817927 0.29999106952314164 0.1
324 0.5963708265931698 0.10117201129043163 0.30245716211639867 0.1
325 0.593579271750763 0.10162901770981018 0.3047917105394267 0.1
326 0.5909056958405706 0.10209065483019933 0.30700364932922997 0.1
327 0.5883425601253751 0.10255636662974942 0.3091010732448754 0.1
328 0.5858830046716412 0.10302565557053645 0.31109133975782227 0.1
329 0.5835207687093831 0.10349807506777933 0.3129811562228376 0.1
