#arXiv:1909.04721 
#title:Search for electroweak production of a vector-like T quark using fully hadronic final states 
#luminosity 35.9 fb-1 
#Energy 13000 GeV 
#A.~M.~Sirunyan and al. CMS Collaborations 
#Fig 10 lower row left 
#pp → Ttq → (tH+tZ)tq, doublet, $\frac{\Gamma}{m_T} \leg 0.05 $
#Mass(GeV), $\frac{\Gamma}{m_T}$, \sigma_{theorie}(pb)
690 0.05 0.22834203047182738
800 0.05 0.10974987654930568
900 0.05 0.062076795936247674
1000 0.05 0.03678379771828634
1100 0.05 0.022309243744089834
1200 0.05 0.014174741629268049
1300 0.05 0.009164762440706511
1400 0.05 0.006064964774694608

