#arXiv:2405.05071
#title:Search for production of a single vector-like quark decaying to $tH$ or $tZ$ in the all-hadronic final state in $pp$ collisions at $\sqrt{s}=$ 13 TeV 
#Luminosity 138 fb-1 
#Energy 13 TeV 
#A.~Hayrapetyan et al. CMS Collaborations
#Fig 4 upper right
#pp → Tbq→tZbq →tbbbq, Singlet , $\Gamma/M_T$=0.01 
#Mass(GeV), \sigma_{theorie}(pb)
600 0.1765
650 0.1213
700 0.089
800 0.046
900 0.025
1000 0.014
1100 0.00867
1200 0.00536

