#arXiv:2201.07045
#title:Search for single production of a vector-like T quark decaying into a Higgs boson and top quark with fully hadronic final states using the ATLAS detector 
#Luminosity 139 fb-1 
#Energy 13000 GeV 
#A.~Georges and al. ATLAS Collaborations 
#Fig8a 
#pp → Tbq→ Htbq, Singlet 
#Mass(GeV), k, \sigma_theorie(fb)
1000 0.1 6.929596780336586
1200 0.1 3.5373054757220714
1400 0.1 1.959004340421587
1600 0.1 1.1300491816714908
1800 0.1 0.6652867125173115
2000 0.1 0.3997329158161811
2200 0.1 0.2401767553455358
2300 0.1 0.18807725741625664

