#arXiv:2405.05071
#title:Search for production of a single vector-like quark decaying to $tH$ or $tZ$ in the all-hadronic final state in $pp$ collisions at $\sqrt{s}=$ 13 TeV 
#Luminosity 138 fb-1 
#Energy 13 TeV 
#A.~Hayrapetyan et al. CMS Collaborations
#Fig 4 lower left
#pp → Tbq→tZbq+tHbq, Singlet , $\Gamma/M_T$=0.01 
#Mass(GeV), $\Gamma/M_T$, \sigma_{theorie}(pb)
600 0.353
650 0.2426
700 0.178
800 0.092
900 0.05
1000 0.028
1100 0.01734
1200 0.01072


