#mass result channel_or_id theo_cross_section ratio observed_limit
750	0	0	0.295	2.8468583229591884	0.10362299999999999
800	0	0	0.195	2.622941999354353	0.074344
850	0	0	0.132	2.2185619684695284	0.059498
900	0	0	0.09	1.9669121664444784	0.045757
950	0	0	0.0624	1.5846009294293912	0.039379000000000004
1000	0	0	0.0438	1.2375328454779193	0.035393
1050	0	0	0.0311	1.01531128595214	0.030631
1100	1	0	0.0223	0.795434278580346	0.028035
1150	1	0	0.0161	0.6702468673244244	0.024021000000000004
1200	1	0	0.0117	0.5085850901977831	0.023005
1300	1	0	0.0063	0.29835196059859825	0.021116
1400	1	0	0.0035	0.1842105263157895	0.019
