#mass result channel_or_id theo_cross_section ratio observed_limit
500	0	0	3.38	1.8053626749278922	1.8722
600	0	0	1.16	1.7447019718140389	0.6648699999999999
700	0	0	0.455	1.5670904125064147	0.290347
750	0	0	0.295	1.3728912158231528	0.21487500000000004
800	0	0	0.195	1.2610258930650045	0.154636
850	0	0	0.132	1.0895943737308702	0.121146
900	1	0	0.09	0.8797395970792644	0.10230300000000002
950	1	0	0.0624	0.7364482892919946	0.084731
1000	1	0	0.0438	0.6080968512245238	0.072028
1150	1	0	0.0161	0.32155625237172697	0.050069
1200	1	0	0.0117	0.2458086474221606	0.047598
1300	1	0	0.0063	0.15340411025616052	0.041068
1400	1	0	0.0035	0.09351787527387377	0.037426
