mass k_t sing_prod ratio result channel label
1000.0 0.1 0.0068129206905796075 0.10621706160369151 1 16 CMS
1001.3013013013014 0.1 0.006791789344622423 0.10605463028451251 1 16 CMS
1002.6026026026026 0.1 0.006770657998665241 0.1058916732423976 1 16 CMS
1003.9039039039039 0.1 0.0067495266527080565 0.10572818814175058 1 16 CMS
1005.2052052052052 0.1 0.006728395306750873 0.10556417263093541 1 16 CMS
1006.5065065065065 0.1 0.006707263960793689 0.1053996243421647 1 16 CMS
1007.8078078078078 0.1 0.006686132614836506 0.10523454089138723 1 16 CMS
1009.1091091091091 0.1 0.006665001268879322 0.10506891987817438 1 16 CMS
1010.4104104104105 0.1 0.006643869922922138 0.10490275888560506 1 16 CMS
1011.7117117117117 0.1 0.006622738576964955 0.1047360554801494 1 16 CMS
1013.013013013013 0.1 0.006601607231007771 0.10456880721155128 1 16 CMS
1014.3143143143143 0.1 0.006580475885050589 0.10440101161270941 1 16 CMS
1015.6156156156156 0.1 0.0065593445390934035 0.10423266619955718 1 16 CMS
1016.9169169169169 0.1 0.006538213193136222 0.10406376847094129 1 16 CMS
1018.2182182182182 0.1 0.006517081847179037 0.10389431590849871 1 16 CMS
1019.5195195195195 0.1 0.006495950501221854 0.10372430597653279 1 16 CMS
1020.8208208208208 0.1 0.006474819155264671 0.10355373612188756 1 16 CMS
1022.1221221221222 0.1 0.006453687809307486 0.10338260377382089 1 16 CMS
1023.4234234234234 0.1 0.006432556463350303 0.10321090634387625 1 16 CMS
1024.7247247247246 0.1 0.0064114251173931205 0.10303864122575299 1 16 CMS
1026.026026026026 0.1 0.006390293771435935 0.10286580579517526 1 16 CMS
1027.3273273273273 0.1 0.0063691624254787515 0.10269239740975948 1 16 CMS
1028.6286286286286 0.1 0.0063480310795215695 0.10251841340888049 1 16 CMS
1029.92992992993 0.1 0.006326899733564383 0.10234385111353597 1 16 CMS
1031.2312312312313 0.1 0.0063057683876072005 0.1021687078262098 1 16 CMS
1032.5325325325325 0.1 0.0062846370416500185 0.10199298083073341 1 16 CMS
1033.8338338338338 0.1 0.006263505695692835 0.10181666739214609 1 16 CMS
1035.1351351351352 0.1 0.0062423743497356495 0.10163976475655373 1 16 CMS
1036.4364364364365 0.1 0.006221243003778467 0.10146227015098573 1 16 CMS
1037.7377377377377 0.1 0.006200111657821284 0.10128418078325048 1 16 CMS
1039.039039039039 0.1 0.006178980311864102 0.10110549384178968 1 16 CMS
1040.3403403403404 0.1 0.006157848965906916 0.10092620649553043 1 16 CMS
1041.6416416416416 0.1 0.006136717619949733 0.10074631589373627 1 16 CMS
1042.9429429429429 0.1 0.00611558627399255 0.10056581916585638 1 16 CMS
1044.2442442442443 0.1 0.006094454928035365 0.10038471342137291 1 16 CMS
1045.5455455455456 0.1 0.006073323582078181 0.10020299574964728 1 16 CMS
1046.8468468468468 0.1 0.006052192236120999 0.10002066321976438 1 16 CMS
1048.148148148148 0.1 0.006031060890163816 0.09983771288037487 1 16 CMS
1049.4494494494495 0.1 0.00600992954420663 0.09965414175953649 1 16 CMS
1050.7507507507507 0.1 0.005988798198249448 0.0994699468645532 1 16 CMS
1052.052052052052 0.1 0.0059676668522922645 0.09928512518181232 1 16 CMS
1053.3533533533534 0.1 0.005946535506335079 0.09909967367662068 1 16 CMS
1054.6546546546547 0.1 0.005925404160377897 0.09891358929303821 1 16 CMS
1055.955955955956 0.1 0.0059042728144207135 0.09872686895371037 1 16 CMS
1057.2572572572572 0.1 0.005883141468463532 0.09853950955969845 1 16 CMS
1058.5585585585586 0.1 0.0058620101225063444 0.09835150799030769 1 16 CMS
1059.8598598598599 0.1 0.0058408787765491625 0.09816286110291472 1 16 CMS
1061.161161161161 0.1 0.005819747430591981 0.09797356573279176 1 16 CMS
1062.4624624624626 0.1 0.0057986160846347935 0.09778361869292958 1 16 CMS
1063.7637637637638 0.1 0.0057774847386776115 0.09759301677385891 1 16 CMS
1065.065065065065 0.1 0.005756353392720429 0.09740175674346906 1 16 CMS
1066.3663663663663 0.1 0.005735222046763246 0.09720983534682544 1 16 CMS
1067.6676676676677 0.1 0.00571409070080606 0.09701724930598424 1 16 CMS
1068.968968968969 0.1 0.005692959354848877 0.09682399531980619 1 16 CMS
1070.2702702702702 0.1 0.005671828008891695 0.0966300700637671 1 16 CMS
1071.5715715715717 0.1 0.005650696662934509 0.09643547018976742 1 16 CMS
1072.872872872873 0.1 0.005629565316977326 0.09624019232593903 1 16 CMS
1074.1741741741741 0.1 0.005608433971020144 0.09604423307645017 1 16 CMS
1075.4754754754754 0.1 0.00558730262506296 0.0958475890213085 1 16 CMS
1076.7767767767768 0.1 0.005566171279105775 0.0956502567161614 1 16 CMS
1078.078078078078 0.1 0.005545039933148592 0.09545223269209506 1 16 CMS
1079.3793793793793 0.1 0.005523908587191409 0.0952535134554303 1 16 CMS
1080.6806806806808 0.1 0.005502777241234223 0.09505409548751693 1 16 CMS
1081.981981981982 0.1 0.005481645895277041 0.09485397524452585 1 16 CMS
1083.2832832832833 0.1 0.005460514549319858 0.0969513395103888 1 42 ATLAS
1084.5845845845845 0.1 0.005439383203362676 0.09980736391439546 1 42 ATLAS
1085.885885885886 0.1 0.005418251857405489 0.10286104745507413 1 42 ATLAS
1087.1871871871872 0.1 0.005397120511448307 0.10613364640435344 1 42 ATLAS
1088.4884884884884 0.1 0.0053759891654911246 0.10964957820359288 1 42 ATLAS
1089.78978978979 0.1 0.005354857819533938 0.11343703180544201 1 42 ATLAS
