mass result channel_or_id theo_cross_section ratio observed_limit width_to_mass_ratio
600.0 0 10 1.75 2.0920752190701624 0.83649 0.1
600.5 0 10 1.7466475 2.092533004554454 0.834704875 0.1
601.0 0 10 1.743295 2.092992752302968 0.83291975 0.1
601.5 0 10 1.7399425 2.093454474959457 0.8311346249999999 0.1
602.0 0 10 1.73659 2.093918185276533 0.8293495 0.1
602.5 0 10 1.7332375 2.094383896116843 0.8275643749999999 0.1
603.0 0 10 1.729885 2.0948516204542558 0.82577925 0.1
603.5 0 10 1.7265325 2.095321371375069 0.8239941249999999 0.1
604.0 0 10 1.72318 2.095793162079228 0.822209 0.1
604.5 0 10 1.7198275 2.096267005881564 0.8204238749999999 0.1
605.0 0 10 1.716475 2.0967429162130427 0.8186387500000001 0.1
605.5 0 10 1.7131224999999999 2.09722090662204 0.8168536249999999 0.1
606.0 0 10 1.70977 2.097700990775622 0.8150685 0.1
606.5 0 10 1.7064175 2.0981831824608492 0.8132833749999998 0.1
607.0 0 10 1.703065 2.0986674955860964 0.81149825 0.1
607.5 0 10 1.6997125 2.099153944182392 0.8097131249999998 0.1
608.0 0 10 1.69636 2.099642542404769 0.807928 0.1
608.5 0 10 1.6930075 2.1001333045336414 0.8061428749999998 0.1
609.0 0 10 1.689655 2.1006262449761937 0.80435775 0.1
609.5 0 10 1.6863025 2.1011213782677927 0.8025726249999999 0.1
610.0 0 10 1.68295 2.101618719073412 0.8007874999999999 0.1
610.5 0 10 1.6795975 2.1021182821890863 0.799002375 0.1
611.0 0 10 1.676245 2.102620082543372 0.79721725 0.1
611.5 0 10 1.6728925 2.1031241351988395 0.7954321249999998 0.1
612.0 0 10 1.66954 2.1036304553535765 0.793647 0.1
612.5 0 10 1.6661875 2.104139058342719 0.791861875 0.1
613.0 0 10 1.662835 2.104649959639997 0.79007675 0.1
613.5 0 10 1.6594825 2.105163174859304 0.788291625 0.1
614.0 0 10 1.65613 2.1056787197562894 0.7865065000000001 0.1
614.5 0 10 1.6527775 2.1061966102299685 0.7847213749999999 0.1
615.0 0 10 1.649425 2.106716862324359 0.78293625 0.1
615.5 0 10 1.6460725 2.107239492230137 0.781151125 0.1
616.0 0 10 1.64272 2.1077645162863146 0.7793660000000001 0.1
616.5 0 10 1.6393675 2.1082919509819478 0.777580875 0.1
617.0 0 10 1.636015 2.1088218129578564 0.7757957500000001 0.1
617.5 0 10 1.6326625 2.1093541190083793 0.7740106249999998 0.1
618.0 0 10 1.62931 2.1098888860831453 0.7722255000000001 0.1
618.5 0 10 1.6259575 2.110426131288875 0.7704403750000001 0.1
619.0 0 10 1.622605 2.1109658718912025 0.7686552499999999 0.1
619.5 0 10 1.6192525 2.111508125316526 0.766870125 0.1
620.0 0 10 1.6159 2.112052909153885 0.7650849999999999 0.1
620.5 0 10 1.6125475 2.1126002411568585 0.763299875 0.1
621.0 0 10 1.609195 2.1131501392454974 0.7615147499999999 0.1
621.5 0 10 1.6058425 2.113702621508277 0.7597296250000001 0.1
622.0 0 10 1.60249 2.114257706204082 0.7579445 0.1
622.5 0 10 1.5991374999999999 2.1148154117642197 0.756159375 0.1
623.0 0 10 1.595785 2.115375756794456 0.7543742499999998 0.1
623.5 0 10 1.5924325 2.1159387600770874 0.752589125 0.1
624.0 0 10 1.58908 2.116504440573039 0.750804 0.1
624.5 0 10 1.5857275 2.1170728174239937 0.7490188749999999 0.1
625.0 0 10 1.5823749999999999 2.117643909954549 0.7472337499999998 0.1
625.5 0 10 1.5790225 2.1182177376744105 0.7454486250000001 0.1
626.0 0 10 1.57567 2.1187943202806108 0.7436634999999999 0.1
626.5 0 10 1.5723175 2.1193736776597647 0.741878375 0.1
627.0 0 10 1.568965 2.119955829890355 0.7400932499999999 0.1
627.5 0 10 1.5656124999999999 2.1205407972450527 0.7383081249999999 0.1
628.0 0 10 1.56226 2.1211286001930696 0.7365229999999999 0.1
628.5 0 10 1.5589075 2.1217192594025454 0.734737875 0.1
629.0 0 10 1.555555 2.122312795742973 0.7329527499999999 0.1
629.5 0 10 1.5522025 2.122909230287651 0.731167625 0.1
630.0 0 10 1.54885 2.1235085843161854 0.7293824999999999 0.1
630.5 0 10 1.5454975 2.1241108793170125 0.7275973749999999 0.1
631.0 0 10 1.5421449999999999 2.124716136989972 0.72581225 0.1
631.5 0 10 1.5387925 2.1253243792489127 0.724027125 0.1
632.0 0 10 1.53544 2.125935628224335 0.7222419999999999 0.1
632.5 0 10 1.5320875 2.126549906266076 0.720456875 0.1
633.0 0 10 1.528735 2.127167235946035 0.7186717499999999 0.1
633.5 0 10 1.5253825 2.1277876400609372 0.716886625 0.1
634.0 0 10 1.52203 2.1284111416351386 0.7151015 0.1
634.5 0 10 1.5186775 2.1290377639234763 0.713316375 0.1
635.0 0 10 1.515325 2.1296675304141597 0.71153125 0.1
635.5 0 10 1.5119725 2.130300464831703 0.709746125 0.1
636.0 0 10 1.50862 2.130936591139908 0.7079609999999998 0.1
636.5 0 10 1.5052675 2.1315759335448834 0.706175875 0.1
637.0 0 10 1.501915 2.1322185164981224 0.7043907500000001 0.1
637.5 0 10 1.4985625 2.132864364699614 0.7026056249999998 0.1
638.0 0 10 1.49521 2.133513503101008 0.7008205 0.1
638.5 0 10 1.4918575 2.1341659569088334 0.699035375 0.1
639.0 0 10 1.488505 2.134821751587755 0.6972502500000001 0.1
639.5 0 10 1.4851524999999999 2.135480912863891 0.6954651249999999 0.1
640.0 0 10 1.4818 2.1361434667281745 0.69368 0.1
640.5 0 10 1.4784475 2.1368094394397703 0.6918948749999999 0.1
641.0 0 10 1.475095 2.1374788575295454 0.69010975 0.1
641.5 0 10 1.4717425 2.1381517478035894 0.6883246249999998 0.1
642.0 0 10 1.4683899999999999 2.138828137346795 0.6865395 0.1
642.5 0 10 1.4650375 2.1395080535264923 0.6847543750000001 0.1
643.0 0 10 1.461685 2.1401915239961387 0.68296925 0.1
643.5 0 10 1.4583325 2.1408785766990683 0.6811841249999999 0.1
644.0 0 10 1.45498 2.141569239872299 0.679399 0.1
644.5 0 10 1.4516274999999998 2.142263542050404 0.6776138750000001 0.1
645.0 0 10 1.448275 2.1429615120694407 0.67582875 0.1
645.5 0 10 1.4449224999999999 2.1436631790709395 0.6740436249999998 0.1
646.0 0 10 1.44157 2.144368572505963 0.6722585 0.1
646.5 0 10 1.4382175 2.145077722139227 0.670473375 0.1
647.0 0 10 1.4348649999999998 2.1457906580532855 0.66868825 0.1
647.5 0 10 1.4315125 2.1465074106527844 0.6669031249999999 0.1
648.0 0 10 1.42816 2.1472280106687838 0.665118 0.1
648.5 0 10 1.4248075 2.1479524891631523 0.6633328749999999 0.1
649.0 0 10 1.421455 2.1486808775330277 0.6615477499999999 0.1
649.5 0 10 1.4181024999999998 2.1494132075153543 0.6597626249999999 0.1
650.0 0 10 1.41475 2.150149511191492 0.6579775 0.1
650.5 0 10 1.4113974999999999 2.1508898209919005 0.6561923749999999 0.1
651.0 0 10 1.408045 2.151634169700901 0.65440725 0.1
651.5 0 10 1.4046925 2.1523825904615173 0.6526221249999998 0.1
652.0 0 10 1.40134 2.1531351167803923 0.650837 0.1
652.5 0 10 1.3979875 2.153891782532791 0.6490518749999998 0.1
653.0 0 10 1.3946349999999998 2.1546526219676814 0.6472667500000001 0.1
653.5 0 10 1.3912825 2.1554176697129064 0.645481625 0.1
654.0 0 10 1.3879299999999999 2.15618696078043 0.6436965 0.1
654.5 0 10 1.3845775 2.1569605305716855 0.641911375 0.1
655.0 0 10 1.381225 2.1577384148830014 0.64012625 0.1
655.5 0 10 1.3778725 2.1585206499111274 0.638341125 0.1
656.0 0 10 1.37452 2.1593072722588427 0.6365560000000001 0.1
656.5 0 10 1.3711674999999999 2.1600983189406726 0.634770875 0.1
657.0 0 10 1.367815 2.1608938273886893 0.63298575 0.1
657.5 0 10 1.3644625 2.161693835458417 0.6312006249999998 0.1
658.0 0 10 1.36111 2.162498381434839 0.6294155 0.1
658.5 0 10 1.3577575 2.1633075040385035 0.627630375 0.1
659.0 0 10 1.3544049999999999 2.164121242431735 0.6258452500000001 0.1
659.5 0 10 1.3510525 2.1649396362249553 0.624060125 0.1
660.0 0 10 1.3477 2.1657627254831064 0.6222749999999999 0.1
660.5 0 10 1.3443475 2.166590550732194 0.620489875 0.1
661.0 0 10 1.340995 2.167423152965934 0.61870475 0.1
661.5 0 10 1.3376424999999998 2.168260573652524 0.616919625 0.1
662.0 0 10 1.33429 2.1691028547415243 0.6151344999999999 0.1
662.5 0 10 1.3309374999999999 2.1699500386708634 0.613349375 0.1
663.0 0 10 1.327585 2.1708021683739687 0.6115642500000001 0.1
663.5 0 10 1.3242325 2.1716592872870155 0.609779125 0.1
664.0 0 10 1.3208799999999998 2.1725214393563093 0.6079939999999999 0.1
664.5 0 10 1.3175275 2.173388669045797 0.606208875 0.1
665.0 0 10 1.3141749999999999 2.17426102134471 0.60442375 0.1
665.5 0 10 1.3108225 2.175138541775347 0.602638625 0.1
666.0 0 10 1.30747 2.1760212764009865 0.6008534999999999 0.1
666.5 0 10 1.3041175 2.1769092718339538 0.599068375 0.1
667.0 0 10 1.300765 2.1778025752438226 0.59728325 0.1
667.5 0 10 1.2974124999999999 2.178701234365767 0.595498125 0.1
668.0 0 10 1.29406 2.179605297509066 0.5937129999999999 0.1
668.5 0 10 1.2907075 2.1805148135657575 0.591927875 0.1
669.0 0 10 1.287355 2.181429832019456 0.5901427500000002 0.1
669.5 0 10 1.2840025 2.1823504029543255 0.588357625 0.1
670.0 0 10 1.2806499999999998 2.183276577064216 0.5865724999999999 0.1
670.5 0 10 1.2772975 2.1842084056619724 0.584787375 0.1
671.0 0 10 1.2739449999999999 2.1851459406889076 0.5830022500000002 0.1
671.5 0 10 1.2705925 2.1860892347244585 0.581217125 0.1
672.0 0 10 1.26724 2.18703834099601 0.579432 0.1
672.5 0 10 1.2638875 2.187993313388911 0.577646875 0.1
673.0 0 10 1.260535 2.188954206456671 0.5758617500000001 0.1
673.5 0 10 1.2571824999999999 2.18992107543135 0.574076625 0.1
674.0 0 10 1.25383 2.1908939762341397 0.5722915 0.1
674.5 0 10 1.2504775 2.1918729654861435 0.570506375 0.1
675.0 0 10 1.247125 2.1928581005193672 0.56872125 0.1
675.5 0 10 1.2437725 2.1938494393879027 0.566936125 0.1
676.0 0 10 1.2404199999999999 2.19484704087934 0.565151 0.1
676.5 0 10 1.2370675 2.1958509645263837 0.5633658749999999 0.1
677.0 0 10 1.233715 2.1968612706186956 0.56158075 0.1
677.5 0 10 1.2303625 2.197878020214967 0.559795625 0.1
