#mT Tbq_005 Tbq_01 Tbq_02 Tbq_03
648.5 0.7120250000000001 1.4248075 2.842825 4.217875
649.0 0.71035 1.421455 2.8360499999999997 4.20775
649.5 0.708675 1.4181024999999998 2.829275 4.197625
650.0 0.7070000000000001 1.41475 2.8225 4.1875
650.5 0.7053250000000001 1.4113974999999999 2.8157249999999996 4.177375
651.0 0.7036500000000001 1.408045 2.80895 4.16725
651.5 0.7019750000000001 1.4046925 2.8021749999999996 4.157125
652.0 0.7003 1.40134 2.7954 4.147
652.5 0.698625 1.3979875 2.7886249999999997 4.136875
653.0 0.6969500000000001 1.3946349999999998 2.78185 4.12675
653.5 0.6952750000000001 1.3912825 2.7750749999999997 4.116625
654.0 0.6936000000000001 1.3879299999999999 2.7683 4.1065
654.5 0.6919250000000001 1.3845775 2.761525 4.096375
655.0 0.69025 1.381225 2.7547499999999996 4.08625
655.5 0.688575 1.3778725 2.747975 4.076125
656.0 0.6869000000000001 1.37452 2.7411999999999996 4.066
656.5 0.6852250000000001 1.3711674999999999 2.734425 4.055875
657.0 0.6835500000000001 1.367815 2.7276499999999997 4.04575
657.5 0.6818750000000001 1.3644625 2.720875 4.035625
658.0 0.6802 1.36111 2.7140999999999997 4.0255
658.5 0.678525 1.3577575 2.707325 4.015375
659.0 0.6768500000000001 1.3544049999999999 2.70055 4.00525
659.5 0.6751750000000001 1.3510525 2.693775 3.995125
660.0 0.6735000000000001 1.3477 2.687 3.985
660.5 0.6718250000000001 1.3443475 2.6802249999999996 3.974875
661.0 0.67015 1.340995 2.67345 3.96475
661.5 0.668475 1.3376424999999998 2.6666749999999997 3.954625
662.0 0.6668000000000001 1.33429 2.6599 3.9445
662.5 0.6651250000000001 1.3309374999999999 2.6531249999999997 3.934375
663.0 0.6634500000000001 1.327585 2.64635 3.92425
663.5 0.6617750000000001 1.3242325 2.639575 3.914125
664.0 0.6601000000000001 1.3208799999999998 2.6328 3.904
664.5 0.658425 1.3175275 2.626025 3.893875
665.0 0.6567500000000001 1.3141749999999999 2.61925 3.88375
665.5 0.6550750000000001 1.3108225 2.612475 3.873625
666.0 0.6534000000000001 1.30747 2.6056999999999997 3.8635
666.5 0.6517250000000001 1.3041175 2.598925 3.8533749999999998
667.0 0.6500500000000001 1.300765 2.5921499999999997 3.84325
667.5 0.648375 1.2974124999999999 2.585375 3.833125
668.0 0.6467 1.29406 2.5786 3.823
668.5 0.6450250000000001 1.2907075 2.571825 3.812875
669.0 0.6433500000000001 1.287355 2.56505 3.80275
669.5 0.6416750000000001 1.2840025 2.558275 3.792625
670.0 0.6400000000000001 1.2806499999999998 2.5515 3.7824999999999998
670.5 0.638325 1.2772975 2.5447249999999997 3.772375
671.0 0.63665 1.2739449999999999 2.53795 3.76225
671.5 0.6349750000000001 1.2705925 2.5311749999999997 3.752125
672.0 0.6333000000000001 1.26724 2.5244 3.742
672.5 0.6316250000000001 1.2638875 2.517625 3.731875
673.0 0.6299500000000001 1.260535 2.51085 3.72175
673.5 0.6282750000000001 1.2571824999999999 2.504075 3.7116249999999997
674.0 0.6266 1.25383 2.4973 3.7015
674.5 0.6249250000000001 1.2504775 2.490525 3.691375
675.0 0.6232500000000001 1.247125 2.4837499999999997 3.68125
675.5 0.6215750000000001 1.2437725 2.476975 3.671125
676.0 0.6199000000000001 1.2404199999999999 2.4701999999999997 3.661
676.5 0.618225 1.2370675 2.463425 3.650875
677.0 0.61655 1.233715 2.45665 3.6407499999999997
677.5 0.6148750000000001 1.2303625 2.449875 3.6306249999999998
678.0 0.6132000000000001 1.22701 2.4431 3.6205
678.5 0.6115250000000001 1.2236574999999998 2.436325 3.610375
679.0 0.6098500000000001 1.220305 2.42955 3.60025
679.5 0.6081750000000001 1.2169524999999999 2.4227749999999997 3.590125
680.0 0.6065 1.2136 2.416 3.58
680.5 0.6048250000000001 1.2102475 2.4092249999999997 3.5698749999999997
681.0 0.6031500000000001 1.2068949999999998 2.40245 3.5597499999999997
681.5 0.6014750000000001 1.2035425 2.3956749999999998 3.549625
682.0 0.5998000000000001 1.2001899999999999 2.3889 3.5395
682.5 0.5981250000000001 1.1968375 2.382125 3.529375
683.0 0.59645 1.193485 2.37535 3.51925
683.5 0.594775 1.1901324999999998 2.368575 3.509125
684.0 0.5931000000000001 1.18678 2.3617999999999997 3.4989999999999997
