mass result channel_or_id theo_cross_section ratio observed_limit width_to_mass_ratio
600.0 0 9 1.749 1.45355118594485 1.20326 0.05
600.5 0 9 1.7456500000000001 1.4554799803028908 1.1993637999999998 0.05
601.0 0 9 1.7423000000000002 1.4574213470946433 1.1954676 0.05
601.5 0 9 1.7389500000000002 1.4593754096481337 1.1915714 0.05
602.0 0 9 1.7356 1.4613422929097115 1.1876752 0.05
602.5 0 9 1.73225 1.4633221234706817 1.183779 0.05
603.0 0 9 1.7289 1.465315029594465 1.1798828 0.05
603.5 0 9 1.7255500000000001 1.4673211412442966 1.1759866 0.05
604.0 0 9 1.7222000000000002 1.4693405901114795 1.1720904 0.05
604.5 0 9 1.7188500000000002 1.4713735096442013 1.1681942 0.05
605.0 0 9 1.7155 1.4734200350769304 1.164298 0.05
605.5 0 9 1.71215 1.475480303460405 1.1604018 0.05
606.0 0 9 1.7088 1.477554453692226 1.1565056 0.05
606.5 0 9 1.7054500000000001 1.4796426265480744 1.1526094 0.05
607.0 0 9 1.7021000000000002 1.4817449647135597 1.1487132 0.05
607.5 0 9 1.6987500000000002 1.4838616128167212 1.1448169999999998 0.05
608.0 0 9 1.6954 1.4859927174611947 1.1409207999999997 0.05
608.5 0 9 1.69205 1.488138427260061 1.1370246 0.05
609.0 0 9 1.6887 1.4902988928703933 1.1331284 0.05
609.5 0 9 1.6853500000000001 1.4924742670285174 1.1292322 0.05
610.0 0 9 1.6820000000000002 1.4946647045860084 1.125336 0.05
610.5 0 9 1.6786500000000002 1.4968703625464337 1.1214398 0.05
611.0 0 9 1.6753 1.4990914001028683 1.1175436 0.05
611.5 0 9 1.67195 1.501327978676195 1.1136473999999998 0.05
612.0 0 9 1.6686 1.503580261954211 1.1097512 0.05
612.5 0 9 1.6652500000000001 1.5058484159315644 1.105855 0.05
613.0 0 9 1.6619000000000002 1.5081326089505345 1.1019587999999998 0.05
613.5 0 9 1.6585500000000002 1.5104330117426823 1.0980626 0.05
614.0 0 9 1.6552000000000002 1.5127497974713904 1.0941664 0.05
614.5 0 9 1.65185 1.5150831417753141 1.0902702 0.05
615.0 0 9 1.6485 1.51743322281277 1.086374 0.05
615.5 0 9 1.6451500000000001 1.5198002213070791 1.0824778 0.05
616.0 0 9 1.6418000000000001 1.5221843205928975 1.0785815999999997 0.05
616.5 0 9 1.6384500000000002 1.5245857066635504 1.0746854 0.05
617.0 0 9 1.6351000000000002 1.5270045682194031 1.0707892 0.05
617.5 0 9 1.63175 1.5294410967172902 1.066893 0.05
618.0 0 9 1.6284 1.5318954864210315 1.0629968 0.05
618.5 0 9 1.62505 1.5343679344530634 1.0591006 0.05
619.0 0 9 1.6217000000000001 1.536858640847214 1.0552044000000003 0.05
619.5 0 9 1.6183500000000002 1.5393678086026534 1.0513082 0.05
620.0 0 9 1.6150000000000002 1.5418956437390445 1.047412 0.05
620.5 0 9 1.61165 1.544442355352933 1.0435158 0.05
621.0 0 9 1.6083 1.547008155675403 1.0396196 0.05
621.5 0 9 1.60495 1.5495932601310352 1.0357234 0.05
622.0 0 9 1.6016000000000001 1.5521978873982003 1.0318272 0.05
622.5 0 9 1.5982500000000002 1.5548222594707235 1.027931 0.05
