#mT Tbq kappa
600.0 0.0812 0.15
600.5 0.081048 0.15
601.0 0.080896 0.15
601.5 0.080744 0.15
602.0 0.080592 0.15
602.5 0.08044 0.15
603.0 0.080288 0.15
603.5 0.080136 0.15
604.0 0.079984 0.15
604.5 0.079832 0.15
605.0 0.07968 0.15
605.5 0.079528 0.15
606.0 0.079376 0.15
606.5 0.07922399999999999 0.15
607.0 0.07907199999999999 0.15
607.5 0.07891999999999999 0.15
608.0 0.07876799999999999 0.15
608.5 0.07861599999999999 0.15
609.0 0.07846399999999999 0.15
609.5 0.07831199999999999 0.15
610.0 0.07816 0.15
610.5 0.078008 0.15
611.0 0.077856 0.15
611.5 0.077704 0.15
612.0 0.077552 0.15
612.5 0.0774 0.15
613.0 0.077248 0.15
613.5 0.077096 0.15
614.0 0.076944 0.15
614.5 0.076792 0.15
615.0 0.07664 0.15
615.5 0.076488 0.15
616.0 0.076336 0.15
616.5 0.076184 0.15
617.0 0.076032 0.15
617.5 0.07588 0.15
618.0 0.075728 0.15
618.5 0.075576 0.15
619.0 0.07542399999999999 0.15
619.5 0.075272 0.15
620.0 0.07511999999999999 0.15
620.5 0.07496799999999999 0.15
621.0 0.074816 0.15
621.5 0.074664 0.15
622.0 0.074512 0.15
622.5 0.07436 0.15
623.0 0.074208 0.15
623.5 0.074056 0.15
624.0 0.073904 0.15
624.5 0.073752 0.15
625.0 0.0736 0.15
625.5 0.073448 0.15
626.0 0.073296 0.15
626.5 0.073144 0.15
627.0 0.072992 0.15
627.5 0.07284 0.15
628.0 0.072688 0.15
628.5 0.072536 0.15
629.0 0.072384 0.15
629.5 0.072232 0.15
630.0 0.07208 0.15
630.5 0.071928 0.15
631.0 0.071776 0.15
631.5 0.071624 0.15
632.0 0.07147200000000001 0.15
632.5 0.07132 0.15
633.0 0.071168 0.15
633.5 0.071016 0.15
634.0 0.070864 0.15
634.5 0.070712 0.15
635.0 0.07056 0.15
635.5 0.070408 0.15
636.0 0.070256 0.15
636.5 0.070104 0.15
637.0 0.069952 0.15
637.5 0.0698 0.15
638.0 0.069648 0.15
638.5 0.069496 0.15
639.0 0.069344 0.15
639.5 0.069192 0.15
640.0 0.06904 0.15
640.5 0.068888 0.15
641.0 0.068736 0.15
641.5 0.068584 0.15
642.0 0.068432 0.15
642.5 0.06828000000000001 0.15
643.0 0.06812800000000001 0.15
643.5 0.06797600000000001 0.15
644.0 0.067824 0.15
644.5 0.06767200000000001 0.15
645.0 0.06752 0.15
645.5 0.06736800000000001 0.15
646.0 0.067216 0.15
646.5 0.067064 0.15
647.0 0.066912 0.15
647.5 0.06676 0.15
648.0 0.066608 0.15
648.5 0.066456 0.15
649.0 0.066304 0.15
649.5 0.066152 0.15
650.0 0.066 0.15
650.5 0.06594 0.15
651.0 0.06588000000000001 0.15
651.5 0.06582 0.15
652.0 0.06576 0.15
652.5 0.06570000000000001 0.15
653.0 0.06564 0.15
653.5 0.06558 0.15
654.0 0.06552000000000001 0.15
654.5 0.06546 0.15
655.0 0.0654 0.15
655.5 0.06534000000000001 0.15
656.0 0.06528 0.15
656.5 0.06522 0.15
657.0 0.06516 0.15
657.5 0.0651 0.15
658.0 0.06504 0.15
658.5 0.06498 0.15
659.0 0.06492 0.15
659.5 0.06486 0.15
660.0 0.0648 0.15
660.5 0.06474 0.15
661.0 0.06468 0.15
661.5 0.06462 0.15
662.0 0.06456 0.15
662.5 0.0645 0.15
663.0 0.06444 0.15
663.5 0.06438 0.15
664.0 0.06432 0.15
664.5 0.06426 0.15
665.0 0.06420000000000001 0.15
665.5 0.06414 0.15
666.0 0.06408 0.15
666.5 0.06402000000000001 0.15
667.0 0.06396 0.15
667.5 0.0639 0.15
668.0 0.06384000000000001 0.15
668.5 0.06378 0.15
669.0 0.06372 0.15
669.5 0.06366 0.15
670.0 0.0636 0.15
670.5 0.06354 0.15
671.0 0.06348 0.15
671.5 0.06342 0.15
672.0 0.06336 0.15
672.5 0.0633 0.15
673.0 0.06324 0.15
673.5 0.06318 0.15
674.0 0.06312 0.15
674.5 0.06306 0.15
675.0 0.063 0.15
675.5 0.06294 0.15
676.0 0.06288 0.15
676.5 0.06282 0.15
677.0 0.06276 0.15
677.5 0.0627 0.15
678.0 0.06264 0.15
678.5 0.06258 0.15
679.0 0.06252 0.15
679.5 0.06246 0.15
680.0 0.0624 0.15
680.5 0.06234 0.15
681.0 0.06228 0.15
681.5 0.06222 0.15
682.0 0.06216 0.15
682.5 0.0621 0.15
683.0 0.06204 0.15
683.5 0.06198 0.15
684.0 0.06192 0.15
684.5 0.06186 0.15
685.0 0.0618 0.15
685.5 0.061739999999999996 0.15
686.0 0.06168 0.15
686.5 0.06162 0.15
687.0 0.06156 0.15
687.5 0.0615 0.15
688.0 0.06144 0.15
688.5 0.06138 0.15
689.0 0.06132 0.15
689.5 0.061259999999999995 0.15
690.0 0.0612 0.15
690.5 0.06114 0.15
691.0 0.061079999999999995 0.15
691.5 0.06102 0.15
692.0 0.06096 0.15
692.5 0.060899999999999996 0.15
693.0 0.06084 0.15
693.5 0.06078 0.15
694.0 0.060719999999999996 0.15
694.5 0.06066 0.15
695.0 0.0606 0.15
695.5 0.06054 0.15
696.0 0.06048 0.15
696.5 0.06042 0.15
697.0 0.06036 0.15
697.5 0.0603 0.15
698.0 0.060239999999999995 0.15
698.5 0.06018 0.15
699.0 0.06012 0.15
699.5 0.060059999999999995 0.15
700.0 0.06 0.15
700.5 0.059906499999999994 0.15
701.0 0.059813 0.15
701.5 0.059719499999999995 0.15
702.0 0.059626 0.15
702.5 0.059532499999999995 0.15
703.0 0.059439 0.15
703.5 0.059345499999999995 0.15
704.0 0.059252 0.15
704.5 0.059158499999999996 0.15
705.0 0.059065 0.15
705.5 0.058971499999999996 0.15
706.0 0.058878 0.15
706.5 0.058784499999999996 0.15
707.0 0.058691 0.15
707.5 0.0585975 0.15
708.0 0.058504 0.15
708.5 0.0584105 0.15
709.0 0.058317 0.15
709.5 0.0582235 0.15
710.0 0.05813 0.15
710.5 0.0580365 0.15
711.0 0.057943 0.15
711.5 0.0578495 0.15
712.0 0.057756 0.15
712.5 0.0576625 0.15
713.0 0.057568999999999995 0.15
713.5 0.0574755 0.15
714.0 0.057381999999999996 0.15
714.5 0.0572885 0.15
715.0 0.057194999999999996 0.15
715.5 0.0571015 0.15
716.0 0.057007999999999996 0.15
716.5 0.0569145 0.15
717.0 0.056820999999999997 0.15
717.5 0.0567275 0.15
718.0 0.056634 0.15
718.5 0.0565405 0.15
719.0 0.056447 0.15
719.5 0.0563535 0.15
720.0 0.05626 0.15
720.5 0.0561665 0.15
721.0 0.056073 0.15
721.5 0.0559795 0.15
722.0 0.055886 0.15
722.5 0.0557925 0.15
723.0 0.055699 0.15
723.5 0.0556055 0.15
724.0 0.055512 0.15
724.5 0.055418499999999996 0.15
725.0 0.055325 0.15
725.5 0.0552315 0.15
726.0 0.055138 0.15
726.5 0.055044499999999996 0.15
727.0 0.054951 0.15
727.5 0.0548575 0.15
728.0 0.054764 0.15
728.5 0.0546705 0.15
729.0 0.054577 0.15
729.5 0.0544835 0.15
730.0 0.05439 0.15
730.5 0.0542965 0.15
731.0 0.054203 0.15
731.5 0.0541095 0.15
732.0 0.054016 0.15
732.5 0.0539225 0.15
733.0 0.053829 0.15
733.5 0.0537355 0.15
734.0 0.053642 0.15
734.5 0.0535485 0.15
735.0 0.053455 0.15
735.5 0.0533615 0.15
736.0 0.053268 0.15
736.5 0.0531745 0.15
737.0 0.053081 0.15
737.5 0.0529875 0.15
738.0 0.052894 0.15
738.5 0.0528005 0.15
739.0 0.052707000000000004 0.15
739.5 0.0526135 0.15
740.0 0.05252 0.15
740.5 0.0524265 0.15
741.0 0.052333 0.15
741.5 0.0522395 0.15
742.0 0.052146 0.15
742.5 0.0520525 0.15
743.0 0.051959 0.15
743.5 0.0518655 0.15
744.0 0.051772 0.15
744.5 0.0516785 0.15
745.0 0.051585 0.15
745.5 0.0514915 0.15
746.0 0.051398 0.15
746.5 0.0513045 0.15
747.0 0.051211 0.15
747.5 0.0511175 0.15
748.0 0.051024 0.15
748.5 0.050930500000000004 0.15
749.0 0.050837 0.15
749.5 0.0507435 0.15
750.0 0.05065 0.15
750.5 0.050556500000000004 0.15
751.0 0.050463 0.15
751.5 0.0503695 0.15
752.0 0.050276 0.15
752.5 0.050182500000000005 0.15
753.0 0.050089 0.15
753.5 0.0499955 0.15
754.0 0.049902 0.15
754.5 0.0498085 0.15
755.0 0.049715 0.15
755.5 0.0496215 0.15
756.0 0.049528 0.15
756.5 0.0494345 0.15
757.0 0.049341 0.15
757.5 0.0492475 0.15
758.0 0.049154 0.15
758.5 0.0490605 0.15
759.0 0.048967000000000004 0.15
759.5 0.0488735 0.15
760.0 0.048780000000000004 0.15
760.5 0.0486865 0.15
761.0 0.048593 0.15
761.5 0.0484995 0.15
762.0 0.048406000000000005 0.15
762.5 0.0483125 0.15
763.0 0.048219 0.15
763.5 0.0481255 0.15
764.0 0.048032000000000005 0.15
764.5 0.0479385 0.15
765.0 0.047845 0.15
765.5 0.0477515 0.15
766.0 0.047658000000000006 0.15
766.5 0.0475645 0.15
767.0 0.047471 0.15
767.5 0.0473775 0.15
768.0 0.047284 0.15
768.5 0.0471905 0.15
769.0 0.047097 0.15
769.5 0.047003500000000004 0.15
770.0 0.04691 0.15
770.5 0.046816500000000004 0.15
771.0 0.046723 0.15
771.5 0.046629500000000004 0.15
772.0 0.046536 0.15
772.5 0.046442500000000005 0.15
773.0 0.046349 0.15
773.5 0.046255500000000005 0.15
774.0 0.046162 0.15
774.5 0.0460685 0.15
775.0 0.045975 0.15
775.5 0.045881500000000006 0.15
776.0 0.045788 0.15
776.5 0.0456945 0.15
777.0 0.045601 0.15
777.5 0.045507500000000006 0.15
778.0 0.045414 0.15
778.5 0.0453205 0.15
779.0 0.045227 0.15
779.5 0.04513350000000001 0.15
780.0 0.045040000000000004 0.15
780.5 0.0449465 0.15
781.0 0.044853000000000004 0.15
781.5 0.0447595 0.15
782.0 0.044666000000000004 0.15
782.5 0.0445725 0.15
783.0 0.044479000000000005 0.15
783.5 0.0443855 0.15
784.0 0.044292 0.15
784.5 0.0441985 0.15
785.0 0.044105000000000005 0.15
785.5 0.0440115 0.15
786.0 0.043918 0.15
786.5 0.0438245 0.15
787.0 0.043731000000000006 0.15
787.5 0.0436375 0.15
788.0 0.043544 0.15
788.5 0.0434505 0.15
789.0 0.04335700000000001 0.15
789.5 0.0432635 0.15
790.0 0.04317 0.15
790.5 0.043076500000000004 0.15
791.0 0.04298300000000001 0.15
791.5 0.042889500000000004 0.15
792.0 0.042796 0.15
792.5 0.042702500000000004 0.15
793.0 0.04260900000000001 0.15
793.5 0.042515500000000005 0.15
794.0 0.042422 0.15
794.5 0.042328500000000005 0.15
795.0 0.04223500000000001 0.15
795.5 0.042141500000000005 0.15
796.0 0.042048 0.15
796.5 0.041954500000000006 0.15
797.0 0.041861 0.15
797.5 0.0417675 0.15
798.0 0.041674 0.15
798.5 0.041580500000000006 0.15
799.0 0.041487 0.15
799.5 0.0413935 0.15
800.0 0.0413 0.15
800.5 0.041233500000000006 0.15
801.0 0.041167 0.15
801.5 0.041100500000000005 0.15
802.0 0.041034 0.15
802.5 0.040967500000000004 0.15
803.0 0.040901 0.15
803.5 0.0408345 0.15
804.0 0.040768000000000006 0.15
804.5 0.0407015 0.15
805.0 0.040635000000000004 0.15
805.5 0.0405685 0.15
806.0 0.040502 0.15
806.5 0.040435500000000006 0.15
807.0 0.040369 0.15
807.5 0.040302500000000005 0.15
