#mT Tbq kappa
600.0 0.0361 0.1
600.5 0.036036 0.1
601.0 0.035972 0.1
601.5 0.035908 0.1
602.0 0.035844 0.1
602.5 0.03578 0.1
603.0 0.035716 0.1
603.5 0.035652 0.1
604.0 0.035588 0.1
604.5 0.035524 0.1
605.0 0.03546 0.1
605.5 0.035396 0.1
606.0 0.035332 0.1
606.5 0.035268 0.1
607.0 0.035204 0.1
607.5 0.03514 0.1
608.0 0.035076 0.1
608.5 0.035012 0.1
609.0 0.034948 0.1
609.5 0.034884 0.1
610.0 0.034820000000000004 0.1
610.5 0.034756 0.1
611.0 0.034692 0.1
611.5 0.034628 0.1
612.0 0.034564 0.1
612.5 0.0345 0.1
613.0 0.034436 0.1
613.5 0.034372 0.1
614.0 0.034308 0.1
614.5 0.034244 0.1
615.0 0.03418 0.1
615.5 0.034116 0.1
616.0 0.034052 0.1
616.5 0.033988 0.1
617.0 0.033924 0.1
617.5 0.03386 0.1
618.0 0.033796 0.1
618.5 0.033732 0.1
619.0 0.033668000000000003 0.1
619.5 0.033604 0.1
620.0 0.03354 0.1
620.5 0.033476 0.1
621.0 0.033412 0.1
621.5 0.033348 0.1
622.0 0.033284 0.1
622.5 0.03322 0.1
623.0 0.033156 0.1
623.5 0.033092 0.1
624.0 0.033028 0.1
624.5 0.032964 0.1
625.0 0.0329 0.1
625.5 0.032836 0.1
626.0 0.032772 0.1
626.5 0.032708 0.1
627.0 0.032644 0.1
627.5 0.03258 0.1
628.0 0.032516 0.1
628.5 0.032452 0.1
629.0 0.032388 0.1
629.5 0.032324 0.1
630.0 0.03226 0.1
630.5 0.032196 0.1
631.0 0.032132 0.1
631.5 0.032068 0.1
632.0 0.032004 0.1
632.5 0.03194 0.1
633.0 0.031876 0.1
633.5 0.031812 0.1
634.0 0.031748 0.1
634.5 0.031684000000000004 0.1
635.0 0.03162 0.1
635.5 0.031556 0.1
636.0 0.031492 0.1
636.5 0.031428 0.1
637.0 0.031364 0.1
637.5 0.0313 0.1
638.0 0.031236 0.1
638.5 0.031172 0.1
639.0 0.031108 0.1
639.5 0.031044000000000002 0.1
640.0 0.03098 0.1
640.5 0.030916 0.1
641.0 0.030852 0.1
641.5 0.030788 0.1
642.0 0.030724 0.1
642.5 0.03066 0.1
643.0 0.030596 0.1
643.5 0.030532 0.1
644.0 0.030468000000000002 0.1
644.5 0.030404 0.1
645.0 0.03034 0.1
645.5 0.030276 0.1
646.0 0.030212 0.1
646.5 0.030148 0.1
647.0 0.030084 0.1
647.5 0.03002 0.1
648.0 0.029956 0.1
648.5 0.029892000000000002 0.1
649.0 0.029828 0.1
649.5 0.029764 0.1
650.0 0.0297 0.1
650.5 0.029670000000000002 0.1
651.0 0.02964 0.1
651.5 0.02961 0.1
652.0 0.029580000000000002 0.1
652.5 0.02955 0.1
653.0 0.02952 0.1
653.5 0.029490000000000002 0.1
654.0 0.02946 0.1
654.5 0.02943 0.1
655.0 0.029400000000000003 0.1
655.5 0.02937 0.1
656.0 0.02934 0.1
656.5 0.02931 0.1
657.0 0.02928 0.1
657.5 0.02925 0.1
658.0 0.02922 0.1
658.5 0.02919 0.1
659.0 0.029160000000000002 0.1
659.5 0.02913 0.1
660.0 0.0291 0.1
