#mT Tbq kappa
717.5 0.10105499999999999 0.2
718.0 0.10088799999999999 0.2
718.5 0.10072099999999999 0.2
719.0 0.10055399999999999 0.2
719.5 0.10038699999999999 0.2
720.0 0.10021999999999999 0.2
720.5 0.10005299999999999 0.2
721.0 0.099886 0.2
721.5 0.099719 0.2
722.0 0.099552 0.2
722.5 0.099385 0.2
723.0 0.099218 0.2
723.5 0.099051 0.2
724.0 0.098884 0.2
724.5 0.098717 0.2
725.0 0.09855 0.2
725.5 0.098383 0.2
726.0 0.098216 0.2
726.5 0.098049 0.2
727.0 0.097882 0.2
727.5 0.097715 0.2
728.0 0.097548 0.2
728.5 0.097381 0.2
729.0 0.097214 0.2
729.5 0.097047 0.2
730.0 0.09688 0.2
730.5 0.096713 0.2
731.0 0.09654599999999999 0.2
731.5 0.09637899999999999 0.2
732.0 0.09621199999999999 0.2
732.5 0.09604499999999999 0.2
733.0 0.09587799999999999 0.2
733.5 0.09571099999999999 0.2
734.0 0.09554399999999999 0.2
734.5 0.09537699999999999 0.2
735.0 0.09520999999999999 0.2
735.5 0.09504299999999999 0.2
736.0 0.09487599999999999 0.2
736.5 0.094709 0.2
737.0 0.094542 0.2
737.5 0.094375 0.2
738.0 0.094208 0.2
738.5 0.094041 0.2
739.0 0.093874 0.2
739.5 0.093707 0.2
740.0 0.09354 0.2
740.5 0.093373 0.2
741.0 0.093206 0.2
741.5 0.093039 0.2
742.0 0.092872 0.2
742.5 0.092705 0.2
743.0 0.092538 0.2
743.5 0.092371 0.2
744.0 0.092204 0.2
744.5 0.092037 0.2
745.0 0.09187 0.2
745.5 0.09170299999999999 0.2
746.0 0.09153599999999999 0.2
746.5 0.09136899999999999 0.2
747.0 0.09120199999999999 0.2
747.5 0.09103499999999999 0.2
748.0 0.090868 0.2
748.5 0.090701 0.2
749.0 0.090534 0.2
749.5 0.090367 0.2
750.0 0.0902 0.2
750.5 0.090033 0.2
751.0 0.089866 0.2
751.5 0.089699 0.2
752.0 0.089532 0.2
752.5 0.089365 0.2
753.0 0.089198 0.2
753.5 0.089031 0.2
754.0 0.088864 0.2
754.5 0.088697 0.2
755.0 0.08853 0.2
755.5 0.088363 0.2
756.0 0.088196 0.2
756.5 0.088029 0.2
757.0 0.087862 0.2
757.5 0.087695 0.2
758.0 0.087528 0.2
758.5 0.087361 0.2
759.0 0.087194 0.2
759.5 0.087027 0.2
760.0 0.08685999999999999 0.2
760.5 0.08669299999999999 0.2
761.0 0.08652599999999999 0.2
761.5 0.08635899999999999 0.2
762.0 0.08619199999999999 0.2
762.5 0.08602499999999999 0.2
763.0 0.08585799999999999 0.2
763.5 0.08569099999999999 0.2
764.0 0.08552399999999999 0.2
764.5 0.08535699999999999 0.2
765.0 0.08518999999999999 0.2
765.5 0.08502299999999999 0.2
766.0 0.084856 0.2
766.5 0.084689 0.2
767.0 0.084522 0.2
767.5 0.084355 0.2
768.0 0.084188 0.2
768.5 0.084021 0.2
769.0 0.083854 0.2
769.5 0.083687 0.2
770.0 0.08352 0.2
770.5 0.083353 0.2
771.0 0.083186 0.2
771.5 0.083019 0.2
772.0 0.082852 0.2
772.5 0.082685 0.2
773.0 0.082518 0.2
773.5 0.082351 0.2
774.0 0.082184 0.2
774.5 0.08201699999999999 0.2
775.0 0.08184999999999999 0.2
775.5 0.08168299999999999 0.2
776.0 0.08151599999999999 0.2
776.5 0.081349 0.2
777.0 0.081182 0.2
777.5 0.081015 0.2
778.0 0.080848 0.2
778.5 0.080681 0.2
779.0 0.080514 0.2
779.5 0.080347 0.2
780.0 0.08018 0.2
780.5 0.080013 0.2
781.0 0.079846 0.2
781.5 0.079679 0.2
782.0 0.079512 0.2
782.5 0.079345 0.2
783.0 0.079178 0.2
783.5 0.079011 0.2
784.0 0.078844 0.2
784.5 0.078677 0.2
785.0 0.07851 0.2
785.5 0.078343 0.2
786.0 0.078176 0.2
786.5 0.078009 0.2
787.0 0.077842 0.2
787.5 0.077675 0.2
788.0 0.077508 0.2
788.5 0.077341 0.2
789.0 0.07717399999999999 0.2
789.5 0.07700699999999999 0.2
790.0 0.07683999999999999 0.2
790.5 0.07667299999999999 0.2
791.0 0.07650599999999999 0.2
791.5 0.07633899999999999 0.2
792.0 0.07617199999999999 0.2
792.5 0.07600499999999999 0.2
793.0 0.07583799999999999 0.2
793.5 0.07567099999999999 0.2
794.0 0.07550399999999999 0.2
794.5 0.07533699999999999 0.2
795.0 0.07516999999999999 0.2
795.5 0.07500299999999999 0.2
796.0 0.074836 0.2
796.5 0.074669 0.2
797.0 0.074502 0.2
797.5 0.074335 0.2
798.0 0.074168 0.2
798.5 0.074001 0.2
799.0 0.073834 0.2
799.5 0.073667 0.2
800.0 0.0735 0.2
800.5 0.0733885 0.2
801.0 0.073277 0.2
801.5 0.0731655 0.2
802.0 0.073054 0.2
802.5 0.0729425 0.2
803.0 0.07283099999999999 0.2
803.5 0.07271949999999999 0.2
804.0 0.07260799999999999 0.2
804.5 0.07249649999999999 0.2
805.0 0.07238499999999999 0.2
805.5 0.07227349999999999 0.2
806.0 0.07216199999999999 0.2
806.5 0.07205049999999999 0.2
807.0 0.071939 0.2
807.5 0.0718275 0.2
808.0 0.071716 0.2
808.5 0.0716045 0.2
809.0 0.071493 0.2
809.5 0.0713815 0.2
810.0 0.07127 0.2
810.5 0.0711585 0.2
811.0 0.071047 0.2
811.5 0.0709355 0.2
812.0 0.070824 0.2
812.5 0.0707125 0.2
813.0 0.070601 0.2
813.5 0.0704895 0.2
814.0 0.070378 0.2
814.5 0.0702665 0.2
815.0 0.070155 0.2
815.5 0.0700435 0.2
816.0 0.069932 0.2
816.5 0.0698205 0.2
817.0 0.069709 0.2
817.5 0.06959749999999999 0.2
818.0 0.06948599999999999 0.2
818.5 0.06937449999999999 0.2
819.0 0.06926299999999999 0.2
819.5 0.06915149999999999 0.2
820.0 0.06903999999999999 0.2
820.5 0.0689285 0.2
821.0 0.068817 0.2
821.5 0.0687055 0.2
822.0 0.068594 0.2
822.5 0.0684825 0.2
823.0 0.068371 0.2
823.5 0.0682595 0.2
824.0 0.068148 0.2
824.5 0.0680365 0.2
825.0 0.067925 0.2
825.5 0.0678135 0.2
826.0 0.067702 0.2
826.5 0.0675905 0.2
827.0 0.067479 0.2
827.5 0.0673675 0.2
828.0 0.067256 0.2
828.5 0.0671445 0.2
829.0 0.067033 0.2
829.5 0.0669215 0.2
830.0 0.06681 0.2
830.5 0.0666985 0.2
831.0 0.066587 0.2
831.5 0.06647549999999999 0.2
832.0 0.06636399999999999 0.2
832.5 0.06625249999999999 0.2
833.0 0.06614099999999999 0.2
833.5 0.06602949999999999 0.2
834.0 0.065918 0.2
834.5 0.0658065 0.2
835.0 0.065695 0.2
835.5 0.0655835 0.2
836.0 0.065472 0.2
836.5 0.0653605 0.2
837.0 0.065249 0.2
837.5 0.0651375 0.2
838.0 0.065026 0.2
838.5 0.0649145 0.2
839.0 0.064803 0.2
839.5 0.0646915 0.2
840.0 0.06458 0.2
840.5 0.0644685 0.2
841.0 0.064357 0.2
841.5 0.0642455 0.2
842.0 0.064134 0.2
842.5 0.0640225 0.2
843.0 0.063911 0.2
843.5 0.0637995 0.2
844.0 0.063688 0.2
844.5 0.0635765 0.2
845.0 0.063465 0.2
845.5 0.0633535 0.2
846.0 0.06324199999999999 0.2
846.5 0.0631305 0.2
847.0 0.06301899999999999 0.2
847.5 0.0629075 0.2
848.0 0.06279599999999999 0.2
848.5 0.0626845 0.2
849.0 0.062573 0.2
849.5 0.062461499999999996 0.2
850.0 0.06235 0.2
850.5 0.0622385 0.2
851.0 0.062127 0.2
851.5 0.0620155 0.2
852.0 0.061904 0.2
852.5 0.0617925 0.2
853.0 0.061681 0.2
853.5 0.0615695 0.2
854.0 0.061458 0.2
854.5 0.0613465 0.2
855.0 0.061235 0.2
855.5 0.0611235 0.2
856.0 0.061012 0.2
856.5 0.060900499999999996 0.2
857.0 0.060788999999999996 0.2
857.5 0.060677499999999995 0.2
858.0 0.060565999999999995 0.2
858.5 0.0604545 0.2
859.0 0.060343 0.2
859.5 0.0602315 0.2
860.0 0.06012 0.2
860.5 0.0600085 0.2
861.0 0.059897 0.2
861.5 0.0597855 0.2
862.0 0.059674 0.2
862.5 0.0595625 0.2
863.0 0.059451 0.2
863.5 0.0593395 0.2
864.0 0.059228 0.2
864.5 0.0591165 0.2
865.0 0.059005 0.2
865.5 0.0588935 0.2
866.0 0.058782 0.2
866.5 0.0586705 0.2
867.0 0.058559 0.2
867.5 0.0584475 0.2
868.0 0.058336 0.2
868.5 0.0582245 0.2
869.0 0.058113 0.2
869.5 0.0580015 0.2
870.0 0.05789 0.2
870.5 0.057778499999999997 0.2
871.0 0.057666999999999996 0.2
871.5 0.057555499999999996 0.2
872.0 0.057443999999999995 0.2
872.5 0.0573325 0.2
873.0 0.057221 0.2
873.5 0.0571095 0.2
874.0 0.056998 0.2
874.5 0.0568865 0.2
875.0 0.056775 0.2
875.5 0.0566635 0.2
876.0 0.056552000000000005 0.2
876.5 0.056440500000000005 0.2
877.0 0.056329000000000004 0.2
877.5 0.056217500000000004 0.2
878.0 0.056106 0.2
878.5 0.0559945 0.2
879.0 0.055883 0.2
879.5 0.0557715 0.2
880.0 0.05566 0.2
880.5 0.0555485 0.2
881.0 0.055437 0.2
881.5 0.0553255 0.2
882.0 0.055214 0.2
882.5 0.0551025 0.2
883.0 0.054991 0.2
883.5 0.0548795 0.2
884.0 0.054768 0.2
884.5 0.0546565 0.2
885.0 0.054544999999999996 0.2
885.5 0.054433499999999996 0.2
886.0 0.054322 0.2
886.5 0.0542105 0.2
887.0 0.054099 0.2
887.5 0.0539875 0.2
888.0 0.053876 0.2
888.5 0.0537645 0.2
889.0 0.053653 0.2
889.5 0.053541500000000006 0.2
890.0 0.053430000000000005 0.2
890.5 0.053318500000000005 0.2
891.0 0.053207000000000004 0.2
891.5 0.053095500000000004 0.2
892.0 0.052984 0.2
892.5 0.0528725 0.2
893.0 0.052761 0.2
893.5 0.0526495 0.2
894.0 0.052538 0.2
894.5 0.0524265 0.2
895.0 0.052315 0.2
895.5 0.0522035 0.2
896.0 0.052092 0.2
896.5 0.0519805 0.2
897.0 0.051869 0.2
897.5 0.0517575 0.2
898.0 0.051646 0.2
898.5 0.0515345 0.2
899.0 0.051422999999999996 0.2
899.5 0.0513115 0.2
900.0 0.0512 0.2
900.5 0.051129 0.2
901.0 0.051058 0.2
901.5 0.050987000000000005 0.2
902.0 0.050916 0.2
902.5 0.050845 0.2
903.0 0.050774 0.2
903.5 0.050703000000000005 0.2
904.0 0.050632 0.2
904.5 0.050561 0.2
905.0 0.05049 0.2
905.5 0.050419000000000005 0.2
906.0 0.050348000000000004 0.2
906.5 0.050277 0.2
907.0 0.050206 0.2
907.5 0.050135 0.2
908.0 0.050064000000000004 0.2
908.5 0.049993 0.2
909.0 0.049922 0.2
909.5 0.049851 0.2
910.0 0.049780000000000005 0.2
910.5 0.049709 0.2
911.0 0.049638 0.2
911.5 0.049567 0.2
912.0 0.049496000000000005 0.2
912.5 0.049425000000000004 0.2
913.0 0.049354 0.2
913.5 0.049283 0.2
914.0 0.049212 0.2
914.5 0.049141000000000004 0.2
915.0 0.04907 0.2
915.5 0.048999 0.2
916.0 0.048928 0.2
916.5 0.048857000000000005 0.2
917.0 0.048786 0.2
917.5 0.048715 0.2
918.0 0.048644 0.2
918.5 0.048573000000000005 0.2
919.0 0.048502 0.2
919.5 0.048431 0.2
920.0 0.04836 0.2
920.5 0.048289 0.2
921.0 0.048218000000000004 0.2
921.5 0.048147 0.2
922.0 0.048076 0.2
922.5 0.048005 0.2
923.0 0.047934000000000004 0.2
923.5 0.047863 0.2
924.0 0.047792 0.2
924.5 0.047721 0.2
925.0 0.04765 0.2
925.5 0.047579 0.2
926.0 0.047508 0.2
926.5 0.047437 0.2
927.0 0.047366 0.2
927.5 0.047295000000000004 0.2
928.0 0.047224 0.2
928.5 0.047153 0.2
929.0 0.047082 0.2
929.5 0.047011000000000004 0.2
930.0 0.04694 0.2
930.5 0.046869 0.2
931.0 0.046798 0.2
931.5 0.046727000000000005 0.2
932.0 0.046656 0.2
932.5 0.046585 0.2
933.0 0.046514 0.2
933.5 0.046443 0.2
934.0 0.046372000000000003 0.2
934.5 0.046301 0.2
935.0 0.04623 0.2
935.5 0.046159 0.2
936.0 0.046088000000000004 0.2
936.5 0.046017 0.2
937.0 0.045946 0.2
937.5 0.045875 0.2
938.0 0.045804 0.2
938.5 0.045733 0.2
939.0 0.045662 0.2
939.5 0.045591 0.2
940.0 0.045520000000000005 0.2
940.5 0.045449 0.2
941.0 0.045378 0.2
941.5 0.045307 0.2
942.0 0.045236 0.2
942.5 0.045165000000000004 0.2
943.0 0.045094 0.2
943.5 0.045023 0.2
944.0 0.044952 0.2
944.5 0.044881000000000004 0.2
945.0 0.04481 0.2
945.5 0.044739 0.2
946.0 0.044668 0.2
946.5 0.044597 0.2
947.0 0.044526 0.2
947.5 0.044455 0.2
948.0 0.044384 0.2
948.5 0.044313 0.2
949.0 0.044242000000000004 0.2
949.5 0.044171 0.2
950.0 0.0441 0.2
950.5 0.044029 0.2
951.0 0.043958 0.2
951.5 0.043887 0.2
952.0 0.043816 0.2
952.5 0.043745 0.2
953.0 0.043674 0.2
953.5 0.043603 0.2
954.0 0.043532 0.2
954.5 0.043461 0.2
955.0 0.04339 0.2
955.5 0.043318999999999996 0.2
956.0 0.043248 0.2
956.5 0.043177 0.2
957.0 0.043106 0.2
957.5 0.043035000000000004 0.2
958.0 0.042964 0.2
958.5 0.042893 0.2
959.0 0.042822 0.2
959.5 0.042751 0.2
960.0 0.04268 0.2
960.5 0.042609 0.2
961.0 0.042538 0.2
961.5 0.042467 0.2
962.0 0.042396 0.2
962.5 0.042325 0.2
963.0 0.042254 0.2
963.5 0.042183 0.2
964.0 0.042112 0.2
964.5 0.042041 0.2
965.0 0.04197 0.2
965.5 0.041899 0.2
966.0 0.041828000000000004 0.2
966.5 0.041757 0.2
967.0 0.041686 0.2
967.5 0.041615 0.2
968.0 0.041544 0.2
968.5 0.041472999999999996 0.2
969.0 0.041402 0.2
969.5 0.041331 0.2
970.0 0.04126 0.2
970.5 0.041189 0.2
971.0 0.041118 0.2
971.5 0.041047 0.2
972.0 0.040976 0.2
972.5 0.040905 0.2
973.0 0.040834 0.2
973.5 0.040763 0.2
974.0 0.040692 0.2
974.5 0.040621 0.2
975.0 0.04055 0.2
975.5 0.040479 0.2
976.0 0.040408 0.2
976.5 0.040337 0.2
977.0 0.040265999999999996 0.2
977.5 0.040195 0.2
978.0 0.040124 0.2
978.5 0.040053 0.2
979.0 0.039982000000000004 0.2
979.5 0.039911 0.2
980.0 0.03984 0.2
980.5 0.039769 0.2
981.0 0.039698 0.2
981.5 0.039626999999999996 0.2
982.0 0.039556 0.2
982.5 0.039485 0.2
983.0 0.039414 0.2
983.5 0.039343 0.2
984.0 0.039272 0.2
984.5 0.039201 0.2
985.0 0.03913 0.2
985.5 0.039058999999999996 0.2
986.0 0.038988 0.2
986.5 0.038917 0.2
987.0 0.038846 0.2
987.5 0.038775 0.2
988.0 0.038704 0.2
988.5 0.038633 0.2
989.0 0.038562 0.2
989.5 0.038491 0.2
990.0 0.038419999999999996 0.2
990.5 0.038349 0.2
991.0 0.038278 0.2
991.5 0.038207 0.2
992.0 0.038136 0.2
992.5 0.038065 0.2
993.0 0.037994 0.2
993.5 0.037923 0.2
994.0 0.037852 0.2
994.5 0.037780999999999995 0.2
995.0 0.03771 0.2
995.5 0.037639 0.2
996.0 0.037568 0.2
996.5 0.037497 0.2
997.0 0.037426 0.2
997.5 0.037355 0.2
998.0 0.037284 0.2
998.5 0.037212999999999996 0.2
999.0 0.037142 0.2
999.5 0.037071 0.2
1000.0 0.037 0.2
1000.5 0.03695 0.2
1001.0 0.036899999999999995 0.2
1001.5 0.03685 0.2
1002.0 0.0368 0.2
1002.5 0.03675 0.2
1003.0 0.036699999999999997 0.2
1003.5 0.036649999999999995 0.2
1004.0 0.0366 0.2
1004.5 0.03655 0.2
1005.0 0.0365 0.2
1005.5 0.036449999999999996 0.2
1006.0 0.036399999999999995 0.2
1006.5 0.03635 0.2
1007.0 0.0363 0.2
1007.5 0.03625 0.2
1008.0 0.036199999999999996 0.2
1008.5 0.03615 0.2
1009.0 0.0361 0.2
1009.5 0.03605 0.2
1010.0 0.036 0.2
1010.5 0.035949999999999996 0.2
1011.0 0.0359 0.2
1011.5 0.03585 0.2
1012.0 0.0358 0.2
1012.5 0.03575 0.2
1013.0 0.035699999999999996 0.2
1013.5 0.03565 0.2
1014.0 0.0356 0.2
1014.5 0.03555 0.2
1015.0 0.0355 0.2
1015.5 0.035449999999999995 0.2
1016.0 0.0354 0.2
1016.5 0.03535 0.2
1017.0 0.0353 0.2
1017.5 0.03525 0.2
1018.0 0.035199999999999995 0.2
1018.5 0.03515 0.2
1019.0 0.0351 0.2
1019.5 0.03505 0.2
1020.0 0.034999999999999996 0.2
1020.5 0.034949999999999995 0.2
1021.0 0.0349 0.2
1021.5 0.03485 0.2
1022.0 0.0348 0.2
1022.5 0.034749999999999996 0.2
1023.0 0.034699999999999995 0.2
1023.5 0.03465 0.2
1024.0 0.0346 0.2
1024.5 0.03455 0.2
1025.0 0.034499999999999996 0.2
1025.5 0.03445 0.2
1026.0 0.0344 0.2
1026.5 0.03435 0.2
1027.0 0.0343 0.2
1027.5 0.034249999999999996 0.2
1028.0 0.0342 0.2
1028.5 0.03415 0.2
1029.0 0.0341 0.2
1029.5 0.03405 0.2
1030.0 0.033999999999999996 0.2
1030.5 0.03395 0.2
1031.0 0.0339 0.2
1031.5 0.03385 0.2
1032.0 0.0338 0.2
1032.5 0.033749999999999995 0.2
1033.0 0.0337 0.2
1033.5 0.03365 0.2
1034.0 0.0336 0.2
1034.5 0.033549999999999996 0.2
1035.0 0.0335 0.2
1035.5 0.03345 0.2
1036.0 0.0334 0.2
