#mT Tbq kappa
600.0 0.225 0.25
600.5 0.2246 0.25
601.0 0.2242 0.25
601.5 0.2238 0.25
602.0 0.22340000000000002 0.25
602.5 0.223 0.25
603.0 0.2226 0.25
603.5 0.2222 0.25
604.0 0.2218 0.25
604.5 0.2214 0.25
605.0 0.221 0.25
605.5 0.22060000000000002 0.25
606.0 0.2202 0.25
606.5 0.2198 0.25
607.0 0.2194 0.25
607.5 0.219 0.25
608.0 0.21860000000000002 0.25
608.5 0.2182 0.25
609.0 0.2178 0.25
609.5 0.2174 0.25
610.0 0.217 0.25
610.5 0.21660000000000001 0.25
611.0 0.2162 0.25
611.5 0.2158 0.25
612.0 0.2154 0.25
612.5 0.215 0.25
613.0 0.2146 0.25
613.5 0.2142 0.25
614.0 0.2138 0.25
614.5 0.2134 0.25
615.0 0.213 0.25
615.5 0.2126 0.25
616.0 0.2122 0.25
616.5 0.21180000000000002 0.25
617.0 0.2114 0.25
617.5 0.211 0.25
618.0 0.2106 0.25
618.5 0.2102 0.25
619.0 0.20980000000000001 0.25
619.5 0.2094 0.25
620.0 0.209 0.25
620.5 0.2086 0.25
621.0 0.2082 0.25
621.5 0.2078 0.25
622.0 0.2074 0.25
622.5 0.20700000000000002 0.25
623.0 0.2066 0.25
623.5 0.2062 0.25
624.0 0.2058 0.25
624.5 0.2054 0.25
625.0 0.20500000000000002 0.25
625.5 0.2046 0.25
626.0 0.2042 0.25
626.5 0.2038 0.25
627.0 0.2034 0.25
627.5 0.203 0.25
628.0 0.2026 0.25
628.5 0.2022 0.25
629.0 0.2018 0.25
629.5 0.2014 0.25
630.0 0.201 0.25
630.5 0.2006 0.25
631.0 0.2002 0.25
631.5 0.1998 0.25
632.0 0.1994 0.25
632.5 0.199 0.25
633.0 0.1986 0.25
633.5 0.1982 0.25
634.0 0.1978 0.25
634.5 0.1974 0.25
635.0 0.197 0.25
635.5 0.1966 0.25
636.0 0.19619999999999999 0.25
636.5 0.1958 0.25
637.0 0.1954 0.25
637.5 0.195 0.25
638.0 0.1946 0.25
638.5 0.1942 0.25
639.0 0.1938 0.25
639.5 0.19340000000000002 0.25
640.0 0.193 0.25
640.5 0.1926 0.25
641.0 0.1922 0.25
641.5 0.1918 0.25
642.0 0.19140000000000001 0.25
642.5 0.191 0.25
643.0 0.1906 0.25
643.5 0.1902 0.25
644.0 0.1898 0.25
644.5 0.1894 0.25
645.0 0.189 0.25
645.5 0.1886 0.25
646.0 0.1882 0.25
646.5 0.1878 0.25
647.0 0.1874 0.25
647.5 0.187 0.25
648.0 0.1866 0.25
648.5 0.1862 0.25
649.0 0.1858 0.25
649.5 0.1854 0.25
650.0 0.185 0.25
650.5 0.18481999999999998 0.25
